,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,0.005544781706424357,-0.06531948112711056,0.10610915110103258,0.056245048354471805,-0.03032870683556063,0.02946434113781389,0.10738976103218748,-0.01575892604391457,-0.003547876627402643,-0.09645993263667357,0.09725223807864737,-0.10074437402997995,0.04468853417480187
Social network size,0.004888558187317589,0.007363967419495866,0.0026229044617941456,0.014283800625366754,-0.03742170711559527,0.03318065780508617,0.006202808077846052,0.010849640607986986,0.01740305015043463,-0.0074668004621125834,0.009197864562540873,-0.003926120622991378,-0.03005027359664183
Physical activity,-0.05974645759151884,0.0069365584623216296,-0.01659943583456365,0.027231735511725724,-0.009706515920593536,-0.003909237131821264,0.044105879699633546,0.02165531423347901,0.060892675756215674,0.04070690832873128,-0.0063677174739263384,-0.03720515645768928,0.017951725439588
Parental education,-0.036237257879995016,-0.03046880085235875,0.026766529169715145,0.036223995895361766,-0.009339625092621201,0.06673232834164357,0.044000892270286654,-0.00810770844816229,0.07078938456261057,0.04775777088504149,-0.012136246355503722,-0.015754053095640878,-0.005480641316291243
Neuroticism,0.006357025859720848,0.02069073799869694,0.016741094957082422,0.006501112230396439,0.02225594965868907,-0.03586589106418618,-0.003341563553741418,0.03321120670596536,-0.036964525893218414,0.0015314520042337824,0.032697992020962706,-0.0022226571788326465,-0.012981887213861718
Education,-0.015008363013734637,0.008033295091251754,-0.05455980023188604,-0.0080980612631916,-0.03127391736523597,0.008556826713162978,0.012918705050883491,-0.025200379174232134,0.00930441310616354,0.024790636218774507,-0.047340789521531486,0.016328129105864498,0.015201770441717447
Lifetime daily alcohol intake,0.0016640151742716804,0.01428713620690854,0.04641110593603262,-0.05326787196927887,0.08414193736573583,0.0031468120668126758,0.01712617109141212,0.052578746379615245,0.020869360243254722,0.01113643367967074,-0.03565477557257774,0.023699589613141385,0.00981368672197004
Baseline smoking status,-0.046077718777456596,0.026321268777121435,-0.004044942143624789,0.020286680800271628,-0.010953086622543727,0.04766365545475695,0.00022966289352646836,0.034146666904419656,0.05361161227461884,0.0416297660938906,-0.00039115557477198713,0.022173860412136818,-0.006613747564736233
Age at death,0.06771056911335083,-0.01705561191285324,0.03195485008270253,-0.022238478704692175,0.023832141631437483,0.018533784961636084,0.02929759435321612,-0.021625952292413403,-0.013639217931369624,-0.0992751068309147,0.06633015910596947,-0.002971919435148047,-0.011655219070216218
Hypertension,0.02698263751568459,-0.01950973028227964,-0.014655239245765051,0.04060091611659611,0.036186976053193015,-0.011867522940295975,-0.023417228683113883,-0.01801045382506843,0.02683450560576047,0.012380424262927821,0.017364344343702518,-0.017479152528577804,-0.02461611242692131
History of diabetes,-0.004746783173223266,0.016006657235279696,-0.025791308839552038,0.06250622939641143,-0.0069825197837612134,0.011945906243490755,0.015751180144343988,0.015632849142907843,0.009735917833025666,0.033924176253483894,-0.0030250323334582,-0.04489084472667556,0.0002161259270317793
Cancer,-0.012703114160832217,0.04144972438618173,-0.013041882918722943,0.056033429093584296,0.007126374509844475,0.05066362188757296,0.026082129016109075,0.02144859967163323,0.1549094181144945,0.04134971377403203,-0.000651854333265597,-0.030547545684117067,0.00012446292395674674
BMI,0.019446045999445938,0.008816342721362695,-0.002869735935849356,0.018077919422513463,-0.006945650550063719,-0.008281639079634414,-0.006612796385175807,-0.0183754520231182,-0.030418518145013312,-0.03595152135726101,0.02866245856602909,-0.05165231152556883,0.003576090047695397
Clinical depression,-0.033245710611340046,0.010952448713772248,0.02226399078430667,-0.003972735686174731,0.018464025627685125,0.025127940262487807,0.02613584608739192,0.026287681602524288,0.046658706586416784,0.03643681229232396,-0.00013269251648059956,0.03609313460992042,0.00965863958933938
Presence of one or more chronic infarcts,0.01781668762817166,-0.05019150944121285,0.046129459070226426,-0.02578459300614856,0.055792071805520226,0.007976978696733205,-0.005817770188168281,-0.030216064200311935,-0.0031032675504686024,-0.05417512039284655,-0.0009494741802122587,0.027315731042390667,-0.03360435661217231
Chronic microinfarcts,0.040172097558288045,-0.07689487988977928,0.05687259550288403,0.023884866757491064,0.007817989481758212,-0.008455970152346746,0.00018887074257051075,-0.028356949264756643,-0.02835103655045395,-0.03940959604864317,0.02290528488900186,-0.010785269424882497,-0.02462154247294369
Gross chronic infarcts,0.02446164215464428,-0.005227243365348309,0.02736106090255721,-0.03777537303630289,0.04980729847811403,0.02574225233327385,-0.006057446223117579,-0.02661653308967794,0.03561489812411268,-0.059230117731971496,0.003134933178189829,0.04391587763593951,-0.024650095958459746
Arteriolosclerosis,-0.004851758645345238,0.003211332997939018,-0.028868598799704905,-0.0007182563715785025,0.006114153210304587,0.06498173774950543,0.0008288007260378929,0.008505714145697394,-0.05007370680190988,0.00934214866383214,0.006773147799406163,0.06768501034519736,-0.01584313179624024
Cerebral atherosclerosis,0.0340970056189281,0.02142181202563969,-0.00887199294667015,-0.03829669274791733,0.05007096918561673,-0.04750503865710759,-0.07518265282465578,-0.048383221664925626,-0.027441057360647985,-0.005948314250665197,-0.03373760134671132,0.056411606066294036,-0.06435587178568304
Cerebral amyloid angiopathy,0.006095055520829305,-0.016591678165648077,-4.159997553558296e-05,0.014575711315875648,-0.031510586889518966,0.018808462480577624,-0.011949835196257967,-0.03507523820776817,0.0047368419818923785,-0.04468825691699132,0.029221608147408096,0.014893968606136527,-0.006059420718330127
Lewy body load,-0.02361014302592085,-0.007429546969981284,-0.0016962515246880666,0.00565986890004657,-0.014020082612429827,0.03570571160285949,0.030861471339151677,0.0015686586846174722,-0.019136315193082617,-0.055831201742896186,0.006223119332731711,-0.02824634274714914,0.023887901334870284
TDP-43 stage,0.04506290537892218,-0.0010321253695538676,-0.07147094140498858,-0.04326781746984432,-0.10341154769974231,0.07916296078653243,-0.0006257377180375279,0.03332706005654681,-0.024493448368143593,-0.08916523042361232,-0.009062625401888144,0.003723030389448283,0.004650316311410185
Pathologic diagnosis of Lewy Body disease,-0.0192513261819949,-0.01973546391834139,0.023704844009862468,-0.008615833148772479,-0.01116119276650009,0.04537591165025558,0.042564268289277035,0.007810521259833079,-0.03728414678620262,-0.059809347490448146,0.021417350966892516,-0.026740407525957705,0.02901173540236667
Parkinson's-like symptoms,0.039320986220516586,-0.004525479111050785,-0.00819606785928272,0.028871399148339607,-0.024190565454554988,0.07629883227737953,-0.02541226062115216,-0.051286759771103314,0.018239131050418224,-0.06228343025125179,0.008444567439378223,0.084689591413936,-0.03411791517869371
CERAD score,-0.0026785374194257783,0.02320913365108585,-0.022928177246962063,-0.016536287293414397,0.06332611517790904,-0.10002850918749018,-0.07817155460654016,-0.028541711181046668,-0.011922077309898594,0.06331842124689385,-0.05229224777868779,-0.01586788657247889,-0.0011115302123480165
ε4 status,-0.02975315159910045,0.049165977747889784,-0.025108823053087734,-0.023225680464795274,-0.05767108673960041,0.10014233951149967,0.033677736338012,0.01060748964695473,-0.023283901695212612,-0.03885655556520402,0.003578184826372098,0.011517185143819799,-0.013787104692544927
Neurofibrillary tangle scores,-0.00228116133615778,-0.04147957448127819,0.05707653766964537,-0.020471366632070637,-0.042709974918023565,0.08743299090175004,0.08885893012314132,0.06533463624036297,-0.04664601635789581,-0.11314906234847219,0.04749494284586802,0.021161144966033565,-0.02259845699065901
Neurofibrillary tangle burden,0.018598941225952986,-0.02552065846172544,0.04661617348330728,-0.008914710149466125,-0.018419846628815205,0.08686861949823532,0.07059178173234047,0.051150854968014,-0.0298638162156789,-0.09214632387081192,0.032254323945666005,0.04441720927074512,-0.024888186812401573
Tau Tangle Density,0.029705040618165934,-0.014562409493704041,0.0467327442734,-0.0020350629487959604,0.0007916420149424793,0.0977625079897238,0.0738626517244094,0.047051091852952386,-0.02061204745380754,-0.08604454967896706,0.029117045369290544,0.03994163601464787,-0.023324198978580974
Amyloid load,-0.012571032462959033,-0.0028547588452313864,0.050763762722206715,0.005280381218517296,-0.07347441997704378,0.09229727400382069,0.08032222222421047,0.03192430547213605,-0.020282757166849682,-0.0752031845604791,0.08316557727865423,-0.011015841640469903,-0.009101690784761191
Presence of neurite plaques,-0.019060039890479497,-0.02110153750520795,0.02921131239412784,0.0396524576189926,-0.06386629510458554,0.09541495961360652,0.042518377598895714,-0.0132440202747695,0.018927226009215866,-0.06172206664714378,0.051246117625159286,0.037845785623911096,0.0017283547748163778
MMSE score,-0.0012642023882384768,-0.004839891822212848,-0.029047704236964036,0.004685152192938088,0.049176663513303596,-0.12649511140054312,-0.0580751866754099,-0.04569703727066466,0.0018291383656228266,0.1109219066895357,-0.03311161492844702,-0.05460332926381603,0.03640357810638413
Global cognitive function,-0.018967702125127727,0.0197896331420798,-0.013411157020479823,0.003998033046941982,0.053444361250048616,-0.08407397033958859,-0.03236592302988737,-0.038546655399296366,0.005687939152055797,0.062204935223588054,-0.008084708173279371,-0.07609848677428131,0.024389034435732957
Global AD pathology burden,0.006978838261067209,-0.01940166568092069,0.02763382339412396,0.023430183945547925,-0.056208694194899836,0.09772445726381901,0.06372982399723402,0.023588570466522674,-0.010494695122497861,-0.06616797725022164,0.05010391698717827,0.042403625730244233,-0.01273455826763235
