,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,-0.019766651957323005,-0.05869489914144999,0.06917924248867992,-0.006590536830049124,0.09194318699790165,0.0928242583885655,-0.04341894455350985,0.03956157776100508,0.018359771002182022,-0.05992454967986041,0.13644025070714155,0.03958497370474786,-0.16899247467019338
Social network size,0.009383171264191489,0.022392488386379087,0.03358581656472442,0.004853375024834422,-0.031192653860113984,0.012984856490517512,-0.02371947507200401,0.01968227385123171,0.02546723565301233,-0.00014674149198019824,0.008094069040055515,-0.024554559115948702,0.008433102005686928
Physical activity,-0.05873992249099782,0.011844994309598414,-0.0198044013943363,-0.012839169241182261,0.001115207544320565,0.035132713955730636,-0.0007477926731626538,-0.009490938441741169,-0.021584432938398016,-0.0030187188259010876,0.030234886113682743,-0.011874897576061312,-0.02317735064918411
Parental education,-0.007152029904036306,0.006050236981222435,-0.01335943811552822,0.01635747002281128,-0.0027930280959252442,0.08056499414899057,-0.060173264210247296,0.013080384456357846,-0.016806668051933666,0.004836557279374186,-0.013806043341370174,-0.024815386077484305,-0.028922980170567783
Neuroticism,-0.023694482927906678,-0.0003929255900557064,0.0006110141748285082,0.039380914954116476,0.01882073663169945,-0.028005439725481387,-0.012772673452559734,0.013983054703087755,-0.002155065109871542,-0.016834549808518142,0.028253663521006687,0.005944898497735564,-0.026386029398055802
Education,-0.005106978177032142,0.004873961679036957,-0.004406114710301193,-0.01174935596674606,-0.02994945046397365,-0.02681085895241648,0.01186231033101868,-0.02063961796274938,0.02066315719673357,0.07267208397895149,-0.07085134978541602,-0.017322204152024807,0.041897106686726464
Lifetime daily alcohol intake,-0.0052675243648771,-0.008621781250555483,0.004834791922009427,0.017215921880570677,-0.062010580747848945,-0.02989627924810035,-0.014673005426392166,0.038679670910257674,0.010904225577855876,-0.016961118255733012,-0.08055717562964752,0.015840837631471275,-0.015913015778045204
Baseline smoking status,-0.056666151360752606,0.0296045467106812,-0.0026253125046935997,0.04200583791726397,0.010867623025400697,0.08297519100684657,-0.029914741099407106,0.034044382398640494,-0.038372013686694725,-0.0289897081614889,-0.03751955940382797,-0.008627030722969201,-0.01301224743229052
Age at death,0.06518140736071197,-0.044736676308867344,0.010449416333182759,-0.011827868606565668,-0.004193817791300516,0.008328305862859568,-0.006341905734218457,-0.03095396892055631,0.021585138437621734,-0.04461547459745824,0.056102890392467616,0.019147646326349917,-0.06130598414597494
Hypertension,-0.014179197403508011,0.03087692350492362,0.007052804693930982,-0.0009301621128319683,0.062355031842543936,-0.010855651524004865,0.004106052855187803,0.003982896483017333,0.0018377570450026919,0.018906565144735533,0.018533317944044923,-0.005541021938883902,-0.013545700873425956
History of diabetes,-0.03225938043930064,0.023309033737477242,0.002342810302365232,0.028176193692159485,0.03525853947464587,0.004190523055706465,-0.023603145829264267,0.005285853661582903,0.007471097315524348,0.0051264791758913195,0.01384121664327134,0.003248044809547375,-0.005993204987709032
Cancer,-0.026286260389943007,0.026679961562923668,0.018879860672118737,0.023399905151500137,-0.06205214829585821,0.0720012386065356,-0.012300929784567404,0.019024071550155425,-0.011393842729611359,-0.010426092793558795,-0.0072551819458226635,-0.008708665647463044,-0.0026381236905705196
BMI,0.008765451624266257,-0.026363758230717536,-0.008055921024966354,-0.0002687367746097669,0.01527083150183874,-0.010396295222069533,-0.006205249436175109,-0.0012098557123225557,0.024771164501941306,-0.015857760546910262,0.050303971599365234,0.006916214368341527,-0.026057145408758732
Clinical depression,-0.020705314006941332,0.004725139155949825,0.01215236448386019,0.0017746864883841768,-0.04445541689083454,0.05974493805695524,0.007554885648124671,-0.004315509575229334,-0.02600071099776043,0.004833079349484957,-0.0300942076224639,0.00805024991674828,0.003582745949046339
Presence of one or more chronic infarcts,0.073050822929535,-0.02181692503701351,0.014255550539416307,-0.006816552054271124,-0.05037975446566048,-0.03370077306500048,-0.03160664582982596,-0.007761266831779378,0.03157190873923122,-0.004697528144904325,0.0032752059717979704,-0.012447716126220589,-0.036647946416708446
Chronic microinfarcts,0.09457367001513091,-0.0523943536455371,0.012575100216769606,0.005140319722707867,0.002823289819492395,-0.005509543144697309,-0.046387688812931406,-0.015690902691485712,0.012064253338632102,-0.01846544538167569,0.05455798280721876,0.003899182788511201,-0.05868209866072511
Gross chronic infarcts,0.06312696421212494,0.01833064318261378,-0.013752238849399162,0.004216207437428154,-0.05727018254287689,-0.019989600590741494,-0.03384271424706448,-0.00918903221135295,0.03296861895165655,-0.015642073168407825,-0.03387047155517486,-0.013986294479315962,-0.015007169187982802
Arteriolosclerosis,0.025451052424475824,0.0010517430103557282,0.004484158772279916,0.04607993672033151,-0.07135653089706206,0.00026652862667153485,-0.05768575205839393,0.015328887137328367,0.009613589535281008,0.0027141681177990646,-0.05756670678746098,-0.015888340510400452,0.07090337267010882
Cerebral atherosclerosis,0.06565606102256186,0.009602097111027663,-0.03513719880851494,-0.016077903976024367,-0.05918314409535345,-0.07977153882651343,0.010902794456031468,-0.015132130687639732,0.017792107037186543,0.023727846809638707,-0.032557142053692506,-0.03921897155146211,0.06244827139086835
Cerebral amyloid angiopathy,0.029877652418693702,-0.027313807908187597,0.03491757819714704,-0.028825817988139754,-0.023952812517342072,0.031048058473409045,-0.006917192545587088,0.03596446242161288,0.035586452340265244,0.016909828572418142,-0.04312221387068588,-0.021115585106323168,0.025881774490702635
Lewy body load,-0.013495412791077127,-0.027645636722242822,0.011432352395680212,0.016581292354537064,-0.03269279023347844,0.035782696589878725,-0.0028334277874154505,-0.003950839783793789,0.04385467189214318,-0.022437510006201013,0.0107087761119156,0.009756981474776287,-0.06493520502830087
TDP-43 stage,0.06165255780309364,-0.04042693505358732,-0.03399457851123105,-0.03681375513467746,-0.04207064460982676,0.08622965031298209,0.01766193751472272,0.011365391224234078,-0.021417798598063417,-0.03895558455720057,-0.061605831410194115,0.018363999854857368,-0.009099949946138065
Pathologic diagnosis of Lewy Body disease,-0.02564536010840476,-0.03424198014434896,0.02209175923357503,0.013413660902862497,-0.012220777906199779,0.038079629702242004,-0.0043438072993312316,0.0035516358961403195,0.03663180437388851,-0.023851818010378258,0.02777253160469617,0.02047584667131663,-0.07306451621395894
