,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,-0.001601787291022135,-0.022457175323471048,0.01409211746571658,0.048439982482820325,-0.06227244771511398,0.040403339553093276,0.07131292508782448,-0.06569090357649336,-0.04358511309131954,-0.09812786608983992,0.0569655861748269,-0.007042789532734687,0.024923660551172525
Social network size,0.02083455663644548,0.02074954244774367,0.017101185095619413,0.0007916035720588478,0.003102019816991856,0.00813725319384089,0.021809863684066105,-0.0035368912595473197,0.0006049377963153034,0.0022057417110569904,0.00515010463456789,-0.002583817563532245,-0.023965354878420365
Physical activity,-0.008679194519458706,0.04222905876185127,-0.022925610630027907,-0.00041163729257409247,-0.006792836708689788,0.024796945295944225,0.019871099855204966,0.011057252261417272,0.01390158114701597,-0.005470480722698492,-0.02078400063576699,-0.010023644764663163,-0.011974079910473025
Parental education,0.013589854018894643,-0.004113904354777652,-0.005629480150336397,0.013721943154865569,-0.00036585749121157237,0.023382187377136467,0.06274279266103802,-0.01675602940131557,0.005153803364762894,0.0049728612011444425,-0.03937341026315395,-0.01580424521441671,-0.018566815652229705
Neuroticism,-0.007612200379974276,0.010960303797397675,-0.018894578795606562,0.022846849069605445,0.007724770728058925,-0.030663957795394128,-0.0042822749943240476,-0.02110268555941197,-0.016197879876594507,-0.0013820115670226001,0.012864996587696279,0.014859105697662103,-0.009927854168768107
Education,-0.0033843472530748916,-0.009912951940794303,0.00805583585340518,-0.016006062872016297,0.005681618544512982,0.017350206965568805,-0.012081999107925085,0.03705090097169517,0.02752073055697432,0.024096185728041807,-0.032247517926454985,0.0040597795228184685,-0.002749607654709236
Lifetime daily alcohol intake,0.011409537843579476,0.01951828049234937,-0.0025250106012308544,-0.004622328914845383,0.059301160257550084,-0.03916182999489206,0.017629551781780668,-0.01916450641032736,0.06208926534900519,0.0372675864399422,-0.0317579926134979,-0.011313703247946935,0.026932004114391762
Baseline smoking status,-0.00604255227779179,0.044622379235013394,-0.03132088817737396,0.0263824493109154,0.0040875926238440165,0.030102821537222532,0.0459723727701337,-0.03225816263966264,0.019607104957254005,0.026212919668611705,-0.02238966911518202,-0.013998679863821991,-0.006900122163171438
Age at death,0.006942647011009834,-0.043343183672636676,0.03439728791154718,0.015103190046135547,0.0011691245694122083,-0.010894860961418997,0.028466131582457695,-0.010729313569200715,-0.0002636109582389301,-0.04108575899623627,0.013456419789662147,0.004781429617064868,0.001340033501272494
Hypertension,-0.002014766819052835,0.0142701342197025,8.254764812431966e-05,0.007236752758635189,-0.023240143455295435,0.0036612914394765638,-0.01793167394829847,0.0032427701747349707,-0.02826783848404491,-0.015528859977594326,0.044648491858094844,-0.0182130443896903,-0.008262695520120355
