,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,-0.04772997385616434,-0.1801430859835607,-0.03187157861038421,-0.1364665683990232,-0.001839485121284405,0.044335967008349395,-0.016006632449773725,-0.047064497254620544,-0.005170960000130851,-0.019358303415341716,0.05295520086174751,-0.04287320010044102,-0.01986301233279315
Social network size,-0.03785515057432688,-0.012231291046969246,-0.042124083733633584,-0.006135993154646036,0.02529904671678341,-0.02447170527742049,-0.009015533882897213,-0.005627879568169161,-0.016817418075078756,0.043850451803482536,-0.009555664305180189,0.02759821926520517,0.00045687730079229803
Physical activity,-0.1010614279884817,0.006730207830639674,-0.04421244869848825,-0.012337761538765916,-0.05013124828350366,-0.0159504150070547,-0.007684696123553781,-0.020507281240482046,-0.011815292418967904,0.019830254688402764,0.015363728758542906,0.04586292617955441,-0.010031933105934941
Parental education,0.0028008643681700154,-0.04854255644615056,0.0008150797046184549,-0.0057874393253962274,-0.028162381620662286,-0.023785883447528973,0.01817587151885546,-0.02696323455262972,-0.038992750059325315,0.008553157689317335,0.007262904361488521,0.01822900379925829,-0.0032894812051675005
Neuroticism,0.003091185741001372,-0.0014142856408754835,-0.0005078067847283196,0.02035300432354776,0.026740608397939368,0.021212557462118496,-0.027945330658294316,0.020827325322467,0.015169878642673608,0.0207665307543914,0.0018295191395815578,0.009922630328647514,0.004875966791989873
Education,-0.01397844123135715,0.02360398289331366,-0.01649846465896708,-0.0004473380280813824,-0.04305425630734724,-0.010323837749481243,-0.017061781703036155,0.010718715592344462,-0.02759811139555001,0.00047730654494656654,0.004028701095244445,0.016509158095690646,0.008128957143540389
Lifetime daily alcohol intake,-0.012872203401148134,0.02000514844172741,0.037013331089443186,0.05008370772378523,0.04744057303585718,0.031121939087395502,-0.021655145216477423,-0.00316222892506024,-0.031571472943274094,-0.021145574178194376,-0.008251491173703966,0.04217509921667162,0.009531080861788551
Baseline smoking status,-0.05755842469159306,-0.01600867246942356,0.022145124861252564,-0.021534522911612137,-0.0037403020854015847,0.021934898694513413,0.024382975764898396,-0.03694226529055157,0.01542143972643704,0.004499058291163198,0.011487346764559545,-0.0050911867608050025,-0.0003282605078818628
Age at death,0.03525282761546301,-0.007744004703082469,-0.0025854058317028774,-0.04786234932429472,0.03181077136069736,0.011271356062849945,-0.013007600732370225,-0.029710248237389828,-0.0380535027638752,-0.0012520894318550169,-0.029606018779007873,0.005950276436287245,-0.0017142177274374055
Hypertension,0.050136202016840506,-0.000582469055091401,0.028904959335911536,0.009661451509817051,0.018293368208317087,-0.009689646066239748,-0.0013314079154828722,0.029270323533081156,0.008600499665148064,0.007527558783874112,0.01330579689804413,0.014216601299536674,0.0006302524781025536
History of diabetes,-0.021426866926405382,-0.011730433850168902,-0.037749605533078,-0.016509715574379615,-0.0029197575379621226,0.004438609435049548,-0.002990104897404095,0.00024068998358922576,0.017898815444778365,0.005980160550101484,0.02504190011103412,-0.004329213615016876,0.015278141745251375
Cancer,-0.04852560812539856,0.008767739599206261,-0.043792549601983734,-0.02531635778759809,-0.004373224900499256,-0.02381490377729781,-0.004722168727980095,-0.012219729233324093,-0.03458818465814165,0.02422091384406096,0.022793140185356726,0.04535035781818144,-0.015590862082397116
BMI,0.0070874030966506536,-0.034946752384801445,-0.001436921050728117,-0.03684527554776422,0.03468833305804666,0.009765180965183976,-0.02292476556614427,0.004197349401050121,0.011065947936990384,-0.012138410050582403,0.013336057015630684,-0.013153878805134904,0.01317531170099685
Clinical depression,-0.03054507283401994,-0.016614769456493327,0.01862336294979614,0.030200989273603922,-0.0016540843011559404,-0.020637806194664966,-0.0035326381523753956,-0.011610470416053113,0.0038477118058490305,0.049460202619087554,-0.002580088241031159,0.026698396048684382,-0.0037427892202748004
Presence of one or more chronic infarcts,0.05032321094035066,0.008459065245104517,0.02374202733556838,0.05610659257441629,0.013149779232918109,-0.017521373257339365,0.015469001299296854,-0.008772728159206425,-0.026614934917297377,0.034253367020329106,-0.021681248894592692,0.02548171952405657,0.009934721427261092
Chronic microinfarcts,0.07359750106426098,-0.04796165308736337,0.013421291879641266,-0.01723580669328213,0.011913283378264406,0.0036981203088565224,0.008386469647289323,0.010254012989599142,-0.005423293525608875,0.00043983407532438297,-0.0031917625111918236,0.009219065673172799,0.004873816012119213
Gross chronic infarcts,0.045939266307211894,0.060244779826396005,0.01597039472273038,0.06015789755825252,0.01346510160957556,-0.03244445308151781,0.00926238540530865,-0.019131766368838975,-0.03692332232042055,0.04567984553813673,-0.033534253050548406,0.03074895424250571,-0.003924314745471045
Arteriolosclerosis,0.015380764056350967,0.05766275070663399,-0.006971738327118778,0.005411994902054814,0.046236285636587666,-0.035842958128635596,0.04419823424653517,0.004185188105476378,-0.020135863734509863,-0.003618819322950638,-0.04233279299522318,-0.016561987282320792,0.009692564932575098
Cerebral atherosclerosis,0.043800236908351754,0.09599615116931207,0.00985884544862136,0.02835075743440822,0.04909709579529888,-0.03778927638942532,0.010019167462998994,0.03151671629288081,0.0006974399947361496,-0.0012761010823921291,-0.05873952579646512,0.017972531086570796,0.021272612425323714
Cerebral amyloid angiopathy,-0.009245693940278715,-0.00794622621476805,-0.0017116398958038639,-0.03955587057005684,0.002948907735381614,-0.04316775581383053,0.008405262723656251,-0.012554096418127603,-0.023170161564094856,0.06432547586220273,-0.01950459599531163,-0.010860051120893418,-0.011215968188054181
Lewy body load,-0.08065375984975089,-0.04884479336453501,-0.0243882504086524,-0.04533490459675473,-0.01118348525118781,0.014604552668000714,-0.018049810880781576,-0.009769811935136149,0.0076734160897015844,0.0075992517273426865,0.02172197731659227,0.039261504011509026,0.019909972148588664
TDP-43 stage,0.029928870052953204,0.03853846954814664,-0.0054210558991051976,-0.05331357917076591,-0.08568479539336797,-0.03008638930496273,0.036114283531051054,-0.014227051189357071,-0.02029485056420021,-0.0031529769228849864,-0.016875446092429698,-0.0007239873510902959,0.006529760455258082
Pathologic diagnosis of Lewy Body disease,-0.07915131502933531,-0.0755670582088011,-0.005115982535710932,-0.039031129348451224,-0.009312687367156323,0.026619758570581954,0.001827065486406241,-0.02612261810983974,0.013752474941979733,-0.020578709133910005,0.03883234575596243,0.015623542406560817,0.013219682829487461
Parkinson's-like symptoms,0.0492825128346753,0.02744846406725704,-0.03295466086312107,-0.023566902968779415,0.03623856392943008,-0.06756157289151841,0.0028245310589464076,0.018336554555564624,-0.06173736990505578,0.03911093274051064,-0.03761506264000333,0.01638115929957003,-0.009193948101077942
CERAD score,0.039997057979191675,0.03786007327159151,0.038247601002271314,0.07021506071669673,0.025008700380886244,-0.0023174417413482887,0.00572023543017419,0.06495922324985233,0.05331407213125958,-0.05351594526884361,0.021685325938723403,-0.0017844329580806722,0.0024391736084455784
ε4 status,-0.10437381101706379,0.023434626952308663,-0.044030837482698065,-0.0143127149240097,-0.050593364243652794,-0.014225755946484875,-0.005302235763744008,-0.04098645154299509,0.0104488729868463,0.02779360983422215,-0.0003656428044740818,0.02586380671701709,0.02671888073892984
Neurofibrillary tangle scores,-0.045645422739207846,-0.036781493609551984,-0.014633428402091258,-0.058945658336056604,0.002538153235445093,0.04674655663246641,0.006935537824381045,-0.08663436027620285,-0.0536409158352085,0.03068203100116212,-0.013906090305131706,0.015305209104770037,0.0015282760962960665
Neurofibrillary tangle burden,-0.010813943432287972,-0.008161477794588392,-0.005807674438032145,-0.04382229418671957,0.021042038506578487,0.02691431769508778,0.003985153733659042,-0.06754410998329125,-0.05511284498722304,0.034103200873434956,-0.018340316084108653,0.011793645175166362,-0.002800641993116916
Tau Tangle Density,0.015488902477914514,0.00873190368507944,0.00404276360234567,-0.04321941043845082,0.030124971793632854,0.024121908963297852,0.0035042022031940073,-0.07417909594425884,-0.05087321106045289,0.029236641249733773,-0.024838549923879013,0.02289854976042259,0.0005158720614877862
Amyloid load,-0.06697561417822652,-0.057593856970189476,-0.041853461297917435,-0.07760272745798313,-0.0076892988592306595,0.027822164860230203,0.0197517959343962,-0.08512699948951556,-0.01567466586918975,0.023450919574334872,-0.0025602177996803654,-0.005305059557151949,0.0012948519672082329
Presence of neurite plaques,-0.042189315549370845,-0.03846073412768423,-0.04288903094652302,-0.05579574000633375,0.010189926169102003,-0.028066541627306905,0.021896266230772128,-0.061109932738507095,-0.04023595414450372,0.06731750026317576,-0.030573193358195104,-0.008384137011836539,-0.011524599296285607
