,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,-0.053186289633158725,0.025821633759194735,0.05379292106157214,0.10703333918003903,-0.07912785354792325,-0.011688261237131322,-0.033977996792212826,0.08484397734006495,-0.11625569635054953,0.0986709799552806,-0.0322285512021301,0.03011992952349349,0.054429962944527406
Social network size,-0.03225927489464268,-0.014337055676967097,0.05859996125964845,0.04007129359225904,-0.05032011382374914,-0.0124357610142893,-0.0338562046610374,0.026202938781279654,0.024724915059605314,0.0028962644958450538,-0.0007815824345782583,0.019864130478826326,-0.014470330089562354
Physical activity,-0.04018947383913457,-0.029696554659385244,0.03645644675160418,0.0012896978554143748,-0.0475795666996469,-0.014998111352552934,0.0036130299340789386,0.027303575303008948,0.019262532652829838,0.013786557316381372,0.005066704950332329,-0.021406478072394722,0.004108453424106966
Parental education,-0.02260455364261597,0.01625294962229952,0.006432129147796504,0.03161444925812169,-0.04420643383883809,-0.04262187070408781,0.0018924611257257066,0.0397989126068149,0.03122303027511373,-0.03308806465854262,-0.0006552645090240813,-0.013397042317364476,-0.00803984792945065
Neuroticism,0.023509390032464172,-0.01320717650676436,0.004326040032824616,-0.006603015146631364,0.04205920738937414,0.027811711466712078,-0.007958434605123988,-0.021948847517577464,-0.009721486913116625,0.016394700521402263,0.000863171213633802,0.006004101773996284,0.01229408678954809
Education,-0.031270935620693614,0.010138496847783611,-0.009777771246543254,-0.013477825748658755,-0.028057838905627762,-0.007850303506981684,0.00958939593524253,-0.019735191416766107,0.04943299583833441,-0.02015228848977754,-0.0007768304128672006,-0.014054412301552913,-0.0014531171846594304
Lifetime daily alcohol intake,0.028760532119890256,0.0037757466338365184,-0.05489819746757345,0.007384528193895344,0.07791858961744054,0.03647098894023343,0.013654400708088977,0.019098349048019266,0.04289662439865417,-0.014656979360297074,0.026226717102497153,-0.0013305534387799483,-0.007269712337286308
Baseline smoking status,-0.018992761866519648,-0.0260846978117391,0.03000697341895177,0.007232372469320055,-0.03163618672014847,-0.05834796078864155,0.02748402024967001,0.04036850217337385,0.03538138235783821,-0.023637719181094783,0.017317618419365736,-0.012674526757210343,-0.019787539033230987
Age at death,0.014243114139695971,0.028374514298260052,-0.015103796367840051,0.028788001072860888,0.0031986879650712906,0.010246875495123665,-0.004348756134261496,0.02900650884272205,-0.030186330475654492,0.013389722850414855,-0.010736523988925353,0.019871397282835743,0.016152547887422302
Hypertension,0.012191794720536771,-0.017181868581254894,0.0036819205363367667,0.00943177670852553,0.023299766499388946,-0.027967751578198342,0.010655010799633428,0.005731619454086492,-0.007218897124904691,0.008382659781351758,0.0018961668374378625,0.002529284952117951,-0.011127892926672975
History of diabetes,-0.02750300712383295,-0.025868346121128497,0.03801349453790662,0.03020076889327059,-0.026728962321522824,-0.010530969405391168,0.013986573940528867,0.01878650225362153,0.000250618154630242,0.03681348974225178,-0.004644177944334059,-0.007439506324586236,0.0011241105669575315
Cancer,-0.054373378653678084,-0.03582749660505751,0.08547943698242481,0.08660912002131034,-0.045778559261007955,-0.07327323225288694,0.05398215906619778,0.05119018446090885,0.06201042429772887,-0.0021845474436675465,0.013462024213354231,0.003223414392605009,-0.013931426278269755
BMI,0.008401520048383054,-0.017400580032307978,0.0065947313482781645,0.026009968826590558,-0.013655236232477812,0.0040175239591814784,-0.020563105450440267,-0.00483281461356655,-0.04539235597001222,0.04812668115160685,0.0035978113689792254,0.009304328781260026,0.0039362676747303335
Clinical depression,-0.01843138337339213,0.005658841384109979,-0.021951955543132538,0.02357554538351045,0.0066980297553568425,-0.023441484617719256,0.01011290535824275,0.0003463311427662816,0.07785000892504751,-0.045868156230499654,0.03724696180830029,0.015307167706001832,0.0021679980139423937
Presence of one or more chronic infarcts,0.012341166560937838,0.06200117638497172,-0.05446856912560343,0.016766848081559732,0.06682897397240174,0.011883281000528982,0.0199451851888658,0.0067355823044848466,0.03232121037522843,-0.01167585207954986,-0.001353284197916116,0.00019796052581122814,0.004859059801953275
Chronic microinfarcts,0.024305222276182183,0.07134585370737317,-0.044438211498941664,0.034911218027276834,0.01452678698399954,0.029966425594361634,0.021726407493512897,-0.0002259159983231194,-0.024857436439394063,0.01693390527535925,-0.017436938579196017,0.01391306972411856,0.018852083509989688
Gross chronic infarcts,0.02529406873647068,0.03633639000134296,-0.050922551406648996,0.010806427696637939,0.05288607559089385,-0.005274371287378041,0.02257086844908694,0.011031880104943586,0.05951021946836336,-0.03504337689417443,0.01876134418371692,0.0036294997320905947,-0.0022217728807900124
Arteriolosclerosis,-0.005873426765366001,0.005806464506437971,-0.02807162624778723,0.011779871828455087,0.0003398223382967455,0.03153900143984173,-0.0027630847252565227,-0.030739121384191194,0.07917953642036382,-0.052409959700265185,0.04017012509430061,-0.01714329065088856,-0.009371633671854703
Cerebral atherosclerosis,0.06515643523468939,-0.013873193792340035,-0.017135157244155822,-0.015018168593059406,0.04984911491327017,0.023509908819613092,0.011546696763102424,-0.06886681849399058,0.030278892185455857,-0.037162179369728696,0.015306923066769248,-0.0005917232153645602,-0.04124970626236198
Cerebral amyloid angiopathy,-0.020741335594205882,0.009529935151011474,0.005500980717579647,0.024201450414092725,-0.03294299590565875,-0.03605614697095241,-0.01515983541168405,-0.02131988082866231,-0.022407160327061977,-0.004629858565308316,-0.015438372100253306,0.009974747659140306,0.007838255180538885
Lewy body load,-0.0369370176560198,0.0069946392241089245,0.03984415116984872,0.028237258549933832,-0.038502635148035605,-0.003380592955955876,-0.040231101993316476,0.03355527408076093,-0.029427325326044095,0.010459659891473915,0.004289916782558331,0.015970481679546625,0.00016700300734462798
TDP-43 stage,0.026653299559301034,0.014171322012922462,-0.022450519140120306,-0.020208316391213562,-0.09053663923944225,-0.02313087236965616,0.03899896471618687,0.03279438624611614,-0.04144581890666027,-0.010305544549129901,-0.01245333713004229,-0.020651271221168572,0.002611633436805088
Pathologic diagnosis of Lewy Body disease,-0.03769960357809706,0.021550243803217864,0.028664408028244152,0.027442966624378864,-0.03376676826767769,0.0021644730001702,-0.04175550106412899,0.05141944116400818,-0.0261373841669947,0.02157604781721907,0.0013615046827573408,0.0267934911993104,0.0097907726323661
Parkinson's-like symptoms,-0.03204629470164625,0.018982455320011075,0.023061610701702633,0.04089751686487366,-0.021281760598220022,-0.026712134649868192,0.009320570921082242,-0.029806681547224937,0.0728855320413848,-0.06282507703421635,0.0049863129270590004,0.02611912755044236,-0.007258503570747205
CERAD score,0.05172778513012978,-0.007642883838154811,-0.028820068911590353,-0.08183081888150376,0.07982768657290837,0.026775907937660354,0.021729144165750627,-0.07515445753167165,-0.02513819003950594,-0.022240309478027083,-0.004811790012648863,-0.02578635753895767,-0.01506124478749012
ε4 status,-0.030189355885190713,-0.025510589070990932,0.030319961803320323,0.020057348182561916,-0.07248116097418497,-0.03411341386544132,-0.032942699821876885,0.04895989895672937,0.047462036108529615,-0.015804358246487932,0.006118843676231943,-0.005906735861133593,-0.006308563037524703
Neurofibrillary tangle scores,-0.030960788888281066,0.02305633246267973,0.02890888563623373,0.06585285664763303,-0.038418412514009626,0.0175095659650034,-0.0368230368451718,0.08043843998615019,0.0033608493777951085,0.027740121713703186,0.004942986124132357,0.029197211087379,0.01262077686414126
Neurofibrillary tangle burden,-0.018026531000704147,0.013131935008494593,0.01090314209380084,0.0737901162571754,-0.018098661846297666,0.0096018146014405,-0.02910516646291178,0.038102197324065945,0.02696699232941301,0.0026984397363985415,0.021729438791626386,0.03011391286412405,0.003100097111527254
Tau Tangle Density,-0.007571715496904578,0.010929485069057407,0.001919254976200001,0.07116561937878606,-0.005639621982530886,0.0032088739665167925,-0.029040636445046564,0.048081278716862685,0.047000493862889355,-0.010721289817315004,0.02286746469242688,0.03079933363638482,0.001745488505736968
Amyloid load,-0.04919667151090111,-0.00353595489164405,0.0655895817843665,0.05946986623612043,-0.08017002282276525,-0.012276890073792892,-0.03642560067537303,0.09939732734349263,-0.012994099043843056,0.0453670488566374,-0.0009882287807404001,0.02934437847902829,0.018733358611514445
Presence of neurite plaques,-0.06534296626080849,0.01533056422879822,0.04843183651746277,0.07811099497154991,-0.06381657161307215,-0.03623451634998263,-0.0319156643422402,0.051863118780287834,0.03326147872002961,-0.0041378820193292325,0.01152497545884603,0.04082496596926807,0.010027886032686537
MMSE score,0.020278467526998974,-0.0005652644553984889,-0.01844415879436138,-0.05773141995581821,0.03981531066941753,0.016111918019614594,-0.005974169836021914,-0.041056324057136585,-0.05293717000949142,0.025577788624479226,-0.028108993038093315,-0.02974283954337618,0.010429608698383776
Global cognitive function,0.007420700009343262,-0.030844357761654805,0.016746316355202573,-0.03994200931248055,0.02791921771614938,0.011647142262089398,-0.0034020022806715536,-0.02325088040443313,-0.052161791372027484,0.04884185915551845,-0.03136867019886985,-0.022697946244659317,0.0036799093196739053
Global AD pathology burden,-0.0481476568013215,0.005019639794808405,0.04600972465587403,0.07849066221521325,-0.053527292975489735,-0.011479840598278746,-0.04110895802377666,0.04854262631467009,0.027738354957341758,0.0017342491372442587,0.019159443922298743,0.03859378757912466,0.0047303172868660695
