,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,-0.014771475264148232,0.06459944603506931,-0.06650624067516553,0.003865087125697631,0.011771926975108263,-0.055009621301493374,0.13138561230812026,-0.027775394176245947,-0.004532228182978039,-0.07354080533004494,-0.0643594880259776,-0.11609881199913129,0.07147332994212235
Social network size,-0.0030930645995572215,-0.003707895653345037,-0.02575801342283881,0.008828840567469836,-0.016810379343819022,-0.029671304372628843,0.01424639640644431,0.01925810417701517,0.015226906944961436,-0.003672336809901936,0.019746823731513888,-0.01356688411856877,0.01765357693535982
Physical activity,-0.06005585686991612,-0.025954058709065912,-0.012352418892597397,0.024483336817917138,-0.03269951423836026,0.02404339975238572,0.023205886281914143,0.016965510034863473,-0.02596879134919247,0.02541014855818947,-0.040837960964061844,0.00358674061468104,0.026355896187535408
Parental education,-0.004358886791947637,0.010337724570024773,-0.030586591034967123,0.02206283352156242,-0.023126483579907375,-1.8519101936437525e-05,0.01030981155720093,0.011780071879616594,-0.022086383135253566,0.027789841579373777,0.0054627224439520285,-0.0034124208028627583,0.00527858512576268
Neuroticism,0.004932522395818432,-0.017537473075691166,-0.0004387480931707664,-0.04115989878975071,0.02776470782756929,0.0016377429507233466,0.002487758425122343,0.003644266575380865,0.0027074409162272843,-0.011153519743263327,0.004510523517959724,0.0018790016443964227,0.001396346812816555
Education,-0.02101827018747004,-0.018952763485033133,0.004877581928031495,0.02886543352562103,-0.01832985164670588,0.01217144500696075,-0.016433502274163424,-0.031541771632367765,-0.021975626441864096,0.043925363006268876,0.00684956351825194,0.022355310876288607,-0.020982486374198583
Lifetime daily alcohol intake,0.01437312911011336,0.0033986390964423586,0.025396933529464122,-0.07248730386428659,0.011491028506198667,-0.051949352385719814,-0.03161347849027988,0.042150536343340275,-0.006081531751323739,0.011887108470869703,0.00339174966866195,0.004413455984839051,-0.008221316689014102
Baseline smoking status,-0.044611845595773005,-0.020144535615460927,-0.003582801426209598,-0.022166352692574914,-0.030349174351701414,-0.006975602113699157,-0.008182742410212572,0.03120672009850627,0.0199580376787366,0.024252171192578897,-0.0027763982322233345,-0.02039037484542166,0.002126480237198061
Age at death,0.030855490235562943,0.021884252247485532,-0.02842951921221324,-0.017838771170913755,-0.005774177556303536,-0.06130174591456946,0.015241167232342298,-0.009583385407267374,0.01704972312262304,-0.08018178951554715,-0.013767926426450288,-0.05429939366217838,0.009129241639502881
Hypertension,0.027861838632490955,-0.017731721005142153,0.004106566338569018,-0.012010861611282852,0.0303316813196112,0.03692839911483388,0.006729723787745994,-0.003996861550233871,-0.007627914666117569,-0.0035215628136179397,-0.02446789024385943,-0.017887157693538536,0.00861608459446136
History of diabetes,-0.02690504156946555,-0.0022835244358661013,-0.014759473656064446,-0.009538174209228445,0.00863276553431899,0.021207670428819984,0.007433071863184432,0.005742051447864007,-0.019108713300331072,0.01000635493913253,-0.032884859475461284,-0.011913233261142776,-0.011062771268354955
Cancer,-0.03777794963834377,-0.0407691033615741,-0.03856060880533933,0.04841426422654598,-0.014791750206928632,-0.027558848567744054,0.03429324716935945,0.028815397985416363,-0.02879964541983914,0.024714068729826205,0.014659282240679914,-0.008214370477491222,0.03932903398556977
BMI,0.026246145176703945,-0.018932911613686664,-0.010974994591864242,0.01159387944189439,0.04062022904965373,-0.00010556939278411465,0.017271583884320166,0.00018423687744962023,-0.00722214669672616,-0.0381412065775045,-0.025666966318386292,-0.03786529158486043,0.006405233478399462
Clinical depression,-0.042616278904870734,-0.010932322997353264,-0.002508864650608739,0.011599533143086083,-8.279909506843487e-05,-0.015356489449482816,-0.010177872204319026,0.01490181138721599,0.0019289418289854484,0.04083186298472295,0.02240108803940595,0.007594636161917798,0.04610556717607707
Presence of one or more chronic infarcts,0.007955516691044166,0.07425197337409281,0.0013125196267681763,-0.02850951531420755,0.0026302165367035873,-0.047701390874917184,-0.014200904713229158,0.031250416688013434,0.0017930320153315084,-0.021356947106795938,0.019259160714731872,0.027467989971349572,-0.01124614526646214
Chronic microinfarcts,0.03863659589287713,0.1064814043747347,-0.03129442671917011,-0.023158350003416348,0.002184890617237896,-0.010746865389575143,0.002335948953165948,0.014456124465545696,-0.0037389207808427656,-0.040791290734006086,0.021368518378394454,-5.5890991791035836e-05,-0.005092391085547837
Gross chronic infarcts,0.0061335035471602505,0.015299023509072422,0.004753142399225966,-0.01621679743359193,-0.031398510834476076,-0.06858420393722285,-0.017321252163548483,0.025522230140108966,0.026963505445048393,-0.023094373538215696,0.02743354060785535,0.023358382960890704,-0.00834305091500657
Arteriolosclerosis,0.005133563143525283,-0.012893784325902238,-0.031309513407673864,-0.013161896212511327,-0.011101749890271228,-0.04110777209023702,-0.0621914127978178,0.029759323838791728,0.01142719236403065,0.01551062836988,0.038306022995796926,0.022943601266963612,0.00320741184003599
Cerebral atherosclerosis,0.04484141201510492,-0.021731647531948554,-0.01972511945716028,0.0006348016749302175,0.030721825600771146,-0.007287323159029083,-0.0495246824437747,0.026059954809491158,0.00782352215767533,-0.025641181550728243,0.04384801971455999,0.03608439869144706,-0.021803179564347505
Cerebral amyloid angiopathy,-0.013857334969893794,0.0035628680997528907,-0.018114740943044102,0.04801600627743465,0.01236366163513013,-0.006415622205754911,0.03932526435990472,-0.035844632624088206,0.047403022666024544,-0.021260617218794745,0.02441588135042526,-0.019040138190995207,-0.0008268921157952842
Lewy body load,-0.028766083330992717,0.004953318432360759,-0.027570527526213237,0.0073677249849810975,-0.030365852358129945,-0.02673239271028811,0.036480658847837875,-0.010854025173662914,0.0068054162385251275,-0.03495867577001023,-0.036599506691097655,-0.03394061079154367,0.008096670920785483
TDP-43 stage,0.03417726480379485,-0.008705130630932034,0.001971911697699242,0.0699945836522918,-0.09104434592506738,-0.03231864726945292,0.013957728716108253,0.009744724463188676,0.035199386707859465,-0.0471527370435206,0.0038610516805243876,-0.01263717801451346,-0.011128601797223551
Pathologic diagnosis of Lewy Body disease,-0.036977548473528445,0.027145530709045892,-0.013934023628147068,-0.005152138279511234,-0.028248188419991827,-0.03894037948992499,0.04825355554828734,-0.008522543707764441,0.01651697601322794,-0.030091807630383233,-0.03784868779149094,-0.030055074013106458,0.012120209840463506
Parkinson's-like symptoms,-0.014729052839731506,0.016660176100987252,-0.0767402454491485,0.04048580772119602,-0.03862256030600568,-0.06739971014389493,-0.04571874870157679,-0.01882567435341583,0.02043836952809385,-0.01267006840928407,0.09543918908362894,0.020080729804276307,-0.016075311310181625
CERAD score,0.02738431966401125,-0.023598328660924376,0.03749058202444873,-0.007403601883503488,0.040032820536525064,0.08420510675235168,-0.040087521074217536,-0.020107759072462147,-0.041288078364232504,0.023055348552213865,-0.01283545789492621,0.04321428067892499,-0.0029065220862024474
ε4 status,-0.06028653311146271,-0.030604788576385916,-0.02631201196713431,0.03801432482838804,-0.05690110302182721,-0.05558631703920452,0.007308378884289661,0.029823584646510335,0.03547672201082226,-0.0286741565976168,0.01019354629481821,0.03505971781703294,0.0035719384233516955
Neurofibrillary tangle scores,-0.009359281686251384,0.04977140483787846,-0.011434438695029412,-0.04320973949112879,-0.03262097684627055,-0.12098088224142475,0.06497088586613302,0.0267478608866251,0.04779874069293195,-0.04994544173923377,0.00675573503126652,-0.025953854713464928,0.011053228427554202
Neurofibrillary tangle burden,0.004546734544259649,0.027201496332097407,-0.027628403983838683,-0.03303075029686463,-0.026993656626331797,-0.10808456649342099,0.0282680145535782,0.02527800454276919,0.04637558919287579,-0.040639808558963444,0.025350560579944403,-0.018648513489642016,-0.001649682808938945
Tau Tangle Density,0.014920264525479078,0.013198476388004124,-0.023228042781427757,-0.02950856515214511,-0.020202745696399897,-0.12350997798857005,0.01982473845768111,0.019347465857125948,0.054794034656725214,-0.04020704809051034,0.03441700683624767,-0.011194861469790065,-0.0029110355105713046
Amyloid load,-0.03934566901085054,0.025638614729714473,-0.02729742948244001,-0.015448218990184845,-0.04946541750984398,-0.1022506941105981,0.07190895482761125,0.018508558990276862,0.04235826415369107,-0.043438946069992615,0.00030218089045415327,-0.052738637064437086,0.028086498945317107
Presence of neurite plaques,-0.0456919081340617,0.0230707351371336,-0.05671080087800872,0.03668932586648934,-0.031888397230798234,-0.09259255169356384,0.0495933336642096,0.012292965787818046,0.050717974435965624,-0.034330422232940874,0.04837039642265621,-0.041201452384055696,0.006483615032565709
MMSE score,0.015904418786676183,0.011341211569810423,0.0507275119099739,-0.018212511135379222,0.06463547640776278,0.13194795426089678,-0.023469457544386375,-0.024595972802711173,-0.06632933623896217,0.0704644457257285,-0.04873550532777213,0.022672554449748503,0.007220222938575802
Global cognitive function,-0.006568129607732724,-0.00419746922888823,0.02858155493397688,-0.020184214786959583,0.05617154809930977,0.09277976100033782,0.0029088023127877456,-0.029745888564829695,-0.06265570840828515,0.032024328227688935,-0.06446533783322968,9.239870498395501e-05,0.012168299252945537
Global AD pathology burden,-0.0236464810767503,0.011913239716344812,-0.050333765716575544,-0.006336479259161516,-0.03021672749004867,-0.10466519963815973,0.03021173857257365,0.010524865342893939,0.04802643015404653,-0.026603488691839462,0.04643492745701312,-0.029801821304928276,0.0007667199233631073
