,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,0.08057662744428253,-0.17747937313675888,0.1311345439338216,0.1397305182131137,-0.08479162195306501,-0.00814225466230216,0.06206379775407425,-0.10156954422371434,-0.11923854112573415,-0.058971773655928504,0.07653266170311677,-0.08463624111457799,0.01621432388324837
Social network size,0.05230865671269324,-0.038105188023234114,0.03981721496659833,-0.0164299599468461,0.011982271516246538,-0.026859042340869835,-0.05880796506746732,-0.0237519383905037,-0.054335696110571,0.10244309848746032,-0.027950680798086196,0.036942547654443436,-0.0022399567562357116
Physical activity,0.01858363822089603,-0.07936237098778523,0.1025837943421733,-0.013177408042183413,-0.027407693908271007,0.07804573475067825,0.04390125600380842,-0.03188150952904839,0.04683448389958739,-0.037452712912337704,0.031144983571917553,0.017357634515492118,-0.010055912856243184
Parental education,-0.02608788166428381,0.03474744471123166,0.021518989758362857,0.020396629332144547,-0.021599367893809566,0.06583568224557426,0.03946822204648585,-0.0248633709795756,-0.0665704143638797,-0.012019235817094564,0.04282646593852099,0.03713692156912753,-0.048641492746141116
Neuroticism,0.04007634776470661,-0.07146360763237564,0.009416616444119699,-0.02481851020677361,-0.0006195966631408793,-0.018599311716694905,-0.039506265178727205,-0.0140377654126256,-0.0005411573565394843,-0.002902461045696857,-0.07673808711285796,0.016063590061575234,0.006849811734849302
Education,-0.008276365362250557,0.007675288781981445,0.0270369487157787,0.045000402403132245,-0.029535060971522403,0.11103438735994875,0.05845749099134831,-0.04407505028334575,0.03661174179731734,-0.08407088043318654,0.04801031304414032,0.02037149810887099,0.02650362798798961
Lifetime daily alcohol intake,0.0037987475818500706,0.04829679275301974,-0.04351876747122074,-0.0519534766545209,-0.056645926984283744,0.053166849675249914,-0.02233246054690032,-0.030814039568555687,0.0043768556104830745,-0.019080287492466357,-0.0063273532811455955,-0.028710382790529804,-0.0009405686955247497
Baseline smoking status,0.07446906797733813,-0.032512551331736333,-0.029802107641017116,0.0608560922943404,0.08394341305218071,-0.09419317966074406,-0.023911189659696675,-0.026778758028987347,0.06744618380196064,0.07059124732487121,0.03019518183472018,0.013949661106306941,0.019378927767553046
Age at death,-0.0349932655815048,0.09111551312176233,-0.0016375552520760943,-0.07191638792403306,0.05656164534926905,-0.026149816520329366,0.055557799761434414,0.06758417891908478,-0.05093286164981667,-0.1117325273183524,0.05222998381253397,-0.054102622094273814,-0.032898364150760556
Hypertension,0.08155668761567525,-0.07071350949475388,0.03397499850659294,-0.0006178466149606397,0.024495699518950306,-0.10140554120922718,-0.04878955243541383,0.06634967694899245,-0.07399954508761383,0.08374224051751428,-0.05292270766469596,-0.06556930609901261,0.03148259292132271
History of diabetes,0.053552246783378235,-0.0066365028333122324,0.005915365396825743,0.013866487263277896,0.000680397531604292,-0.03751725763196962,0.019815909906811802,0.03947894883555647,-0.034611053901158643,0.06765854940752239,-0.012262424304890999,-0.06053466252074166,0.012816226325552075
Cancer,-0.08018033613122964,0.04778712524721858,0.0010139744358049396,0.038183277297328434,0.00740350343932589,-0.010646810376456723,-0.018332730852056636,0.07095139582026432,-0.07445426499850408,0.08241845058461787,0.033733678988059054,0.057948769523727156,0.001956288089806081
BMI,-0.01671939097264744,-0.04236147039218242,0.06004888797869029,0.016973904002016833,-0.041722861070746964,0.0579762687160789,-0.00756437661035621,-0.0062939115200271265,0.012274051674319006,0.11873283697620376,-0.005025618960076481,0.03797498323951293,0.011412726808478985
Clinical depression,0.046559655603122585,0.00021814774599079062,-0.03938244113485234,0.08798901471720164,-0.023302138489000285,-0.0040766515004791466,-0.025228657455268,-0.07787827096730016,0.040318600598392214,-0.0212685670335955,-0.00588806208913974,-0.018856446980273854,0.03723713027493765
Presence of one or more chronic infarcts,-0.06090173718914736,0.07119344344105308,-0.07015397510423031,-0.008552077116335438,-0.03748241882559974,-0.01032463756929822,0.01434101032769403,0.04782218469613565,0.009144189615055892,-0.0446271566218577,-0.003380414589867649,-0.07559922816919631,0.04706648004989956
Chronic microinfarcts,-0.002066254707545523,0.021709495854822257,0.046527790732922195,0.011245423061313323,0.03844719284254114,-0.02682410448165483,0.008393441290212574,0.04377596933706831,-0.0990535768817695,-0.07025880100928548,0.1512532956997344,0.00629892449788343,-0.0010132018659528422
Gross chronic infarcts,-0.06776836075491895,0.07313392967536284,-0.08650308417739634,-0.015712593136427047,0.05489842317833904,-0.08156533861593203,0.03052821497075462,0.062057495143628356,0.08787395690873931,0.010526306785091916,-0.06581125275790707,-0.08302791351666722,0.03393675996291543
Arteriolosclerosis,0.06528194195023775,0.04868943817420541,-0.05763506900278405,-0.00769409135002202,-0.044772238685146085,-0.07492992733614251,-0.09597651615354305,0.0355801286607594,0.013010233886825493,-0.003921769456110658,-0.03309759193177791,-0.011748415425124987,-0.01160584740437146
Cerebral atherosclerosis,0.04022478771090173,-0.055100545232791606,0.00039172280325130916,-0.029876128523551787,0.019327660714566302,-0.060760934986603496,-0.027345096047156514,0.04878280571434891,-0.11151811016836392,0.05461578253123674,-0.007858950035536088,0.02525673721734772,0.021914962360899962
Cerebral amyloid angiopathy,0.030259707535100634,0.0406643677001098,-0.02666451681227816,-0.06619824231853694,0.012033977317039856,0.007582320251830287,0.006127298909334934,0.021249312509868324,0.04239194251648071,-0.0019410719577384367,-0.04808751512565656,0.023707722232276063,-0.04516997353923473
Lewy body load,-0.04591188225811595,0.04942540923458654,-0.07230735368290993,0.06518098956363753,-0.031191249668250973,0.09948870474497953,0.04201131459731476,-0.00843791086823439,0.0488832959047317,0.026874181169085763,0.030053440012466685,0.004524663458979754,0.020170291286353826
