,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,0.074257399497725,-0.052618543543429125,0.09308750695280811,-0.0521373228629017,0.15603627627838487,0.08360721750905077,-0.07042584980021067,0.03272053349751976,-0.011452890766743162,-0.04900935145368116,0.1761360322086434,0.027603817881973667,-0.13906275449857242
Social network size,-0.013379603943155306,0.0587709082879118,0.005507779316519766,0.036481461752564545,0.0760072060698583,-0.04197330258182604,-0.02385532022517393,0.00195871202026604,-0.003106352637064041,0.05332416227093861,-0.06772348479820955,-0.01939035831900684,0.0035485354883717925
Physical activity,0.030990897347628017,-0.024050188650681356,0.07049286564430353,-0.03361095110438277,-0.02998679807826375,0.03176084508730704,-0.07327633170681955,0.036520510938348905,0.023881127725031016,0.0025178775765319615,-0.003434727391045488,0.011999551484901701,-0.03204458080458856
Parental education,0.00033755502534125954,0.03855356248612635,0.00025442148457702153,0.034698256695030134,-0.05708911489361159,-0.023894164923750707,-0.07601757255580575,0.022685938814766805,0.05382867174946144,0.013310552135214627,-0.02714169686777543,-0.032119636734485216,0.03161012051848548
Neuroticism,0.05968481572274631,-0.09449909279039019,0.029996324908594843,-0.08060317183211459,-0.014433605147797738,0.01355040204293802,0.04442264554496525,0.008779964737717439,-0.015180498301143644,0.009858072832692863,-0.012942535948122825,0.018239544354047236,0.011479543991974928
Education,-0.018749360846852296,0.014922905536199496,0.045530017423903536,0.018448184835400526,-0.018120822165890844,0.06792342027657615,-0.04931956749804029,0.04518368130365577,-0.0013651508298282494,-0.028076229972258105,-0.03783719351401164,0.031527168810282134,0.061920144679110105
Lifetime daily alcohol intake,-0.019318836090599388,-0.013965030769846594,0.014847655414928336,-0.05483033605224835,-0.03930359905067566,0.02372947210893205,0.004978012633285991,-0.015626186848214166,0.03829395393727164,0.038712475615947074,0.003269282886498884,0.006510800602263523,0.02391629195166029
Baseline smoking status,0.06825424837102138,-0.00229991323600381,-0.020661924617163974,0.08443122687440018,0.0495406903654521,-0.0695124829641191,0.00029307847564353866,-0.0812326887407211,-0.018677467458024666,0.003745406380290969,0.040375922162687726,0.010426587497023349,0.01029636701361214
Age at death,0.0010739153708599466,0.0050902271726332195,-0.09696765733283429,0.027598303501874293,-0.006735693494603908,-0.03310710881343077,0.027719855545315124,-0.06488691756701163,0.0079358600460219,-0.05511308588061309,0.1698053451594942,0.01797295406734347,-0.09616375099422735
Hypertension,-0.00536809517228853,0.04731411547675407,0.04993611854383791,-0.003168206051032994,0.13980000785297314,-0.052992305579465986,0.06743872372004359,0.04693984636166601,0.007171020206426269,0.025688432157332138,0.0019256375437577962,0.03228932990207775,-0.06735644584772271
History of diabetes,0.02499354600625519,0.05541318059137211,-0.007328710698548292,0.050241968522041706,0.06229666739574998,-0.009534761960430007,-0.010525337561195664,-0.03942491396308917,-0.04477956967888799,-2.739961499898119e-05,0.10145431842122857,-0.004561121012925436,-0.041116220040807165
Cancer,-0.0019367221796225288,-0.026951705394825026,0.012867697235269255,0.050373607710994875,-0.08902317035965762,-0.038616006528643124,-0.04002831575464158,-0.020981432175357927,0.009806983864853992,-0.0218411289732342,-0.06304330075046846,-0.004892085251523893,-0.016723111635440577
BMI,0.06903879395823545,0.0008753153281514162,0.01065796775098361,-0.02874107535372161,-0.07553127677076577,0.05467257033401837,-0.06357010183479785,0.0063679869197773,-0.01909254247954,0.011969803237732713,-0.062152280387686935,-0.03715408944644827,0.01111063461269716
Clinical depression,-0.0027783924223234134,0.00020117602038480142,0.045651522678366696,0.0012268180601456254,0.06809675910015171,0.06708372603126833,0.03365550638978052,-0.014736391192736568,-0.031888331343259184,-0.035970927037777316,0.04064294391163839,0.026189976623792206,0.025565237640205598
Presence of one or more chronic infarcts,-0.04780665156889125,-0.03917162793320495,-0.03306096603515214,0.005350433604876748,-0.04213569451407542,0.06984306240662368,0.025847903025102127,-0.017879846293484547,-0.034996589599455064,-0.06350707377345484,0.06318210108947127,0.014306959809074893,-0.0006593302208672809
Chronic microinfarcts,0.004764138971972418,0.016956618644036713,0.013616151171685936,0.11500876229866079,-0.030542231225743215,-0.06156160691565713,-0.026025325864173294,-0.020964291439521242,0.035628175251730516,-0.12059290872006105,0.10632042442559643,0.060684550224400904,0.019722123260107402
Gross chronic infarcts,-0.07831474328930037,-0.03635104421525016,-0.06192825351432181,0.028859422310474326,-0.005772083716586187,0.004176407262978218,0.07889741894818496,-0.06251700337535239,-0.03230709908112049,-0.005719809589928604,0.05016602199953278,0.013929988723067036,-0.02584701133366537
Arteriolosclerosis,0.05209494525742834,-0.00805201055584928,-0.041975245335841974,-0.0394391730261464,-0.01673082539450286,-0.002207620718004786,0.06889127847205802,-0.024214780676969333,-0.03010832208184908,-0.036074804507633035,0.030984607108288733,0.004102269160932274,0.05579614019128263
Cerebral atherosclerosis,0.0686395542131976,-0.03836553772525052,-0.006337474457886877,-0.029508575777402842,-0.00807787349457906,-0.04709521670403796,0.08013754123866214,-0.005886096199118571,0.013352087182028516,0.015872231905301577,-0.01471197439107539,0.016220886275095388,0.022333440320992385
Cerebral amyloid angiopathy,0.04109396682358614,0.0040922569390241725,-0.03797873095787185,-0.007770861891785592,-0.062080754190716264,-0.031053326886259388,0.02379744879394021,-0.03502955250566279,0.006958171639440065,0.02367073188512708,-0.05263352956534021,-0.05245343234389372,0.00044516282040082955
Lewy body load,-0.04005238153887145,-0.003027195157801335,-0.055823807495118456,0.09200691565329161,-0.009928393881727976,0.09111937115339984,-0.04586294390970141,-0.030521755918413006,-0.03233660165399693,0.007235881072462281,-0.026213157416887022,-0.036457314430325106,0.024044952191034294
TDP-43 stage,-0.008097701150349702,-0.020454793896150285,-0.04113669191313498,-0.04926013006599524,-0.11571886932828623,-0.02738463908057355,0.05329698801576776,-0.03777786580702921,0.030916048634005204,-0.006113586289111071,-0.01462100175471,0.014574200504846082,0.014416352464062353
