,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,0.07785226207953855,-0.08360717954197056,0.08510093428803951,0.0893307840748846,-0.12190389041299611,0.037210819967608985,0.02983435917631782,-0.06163598643905662,-0.10995515214314008,-0.10938836457715201,0.0979800520601179,-0.002444991960094522,0.024293694591599257
Social network size,0.03300391062987482,0.025656748582751285,0.01395409004440088,0.025860364944960117,-0.04096849196011737,-0.017616908638139972,-0.02044267299953455,0.01675749085061299,-0.0290101756281737,0.03389919447298962,-0.02537247932553069,0.005445897127016002,0.01365395898894353
Physical activity,0.012350036206259653,-0.06899982559577188,0.028152664135766052,0.017575720031830458,0.008324276587602372,0.023326501863354637,0.053779170485248204,-0.056564284979398936,-0.001802187653392662,-0.02148635317366271,-0.005165853850797907,0.02096072618016177,0.0261567236695057
Parental education,0.014558092114310993,0.0314774694864202,0.01733628416277656,-0.0286571641449089,0.031105949106054704,-0.01394586528715268,0.05077424270468711,-0.0007680994579614814,0.006173325165960824,-0.00883026183929364,-0.022814368443481586,0.003252804353551881,-0.061340871032633935
Neuroticism,-0.003152022817948593,-0.1123173571120537,0.03453991663177238,-0.011710529608041071,-0.0037082761960379584,0.027621093789209985,0.006031057197772459,0.0010319599505843745,0.011215282342095597,-0.008215494628475812,-0.013910521245637327,3.776608087343202e-05,0.027088553952560976
Education,-0.0020317066704698787,0.047328932942338316,-0.0023432002095826803,0.027468820766260206,-0.023373322478109686,0.051784843605185364,0.057404008603727755,-0.024335225747740975,0.011080491071657676,-0.003907892503321954,-0.03044848561248656,0.050602198301719525,0.025239242120387684
Lifetime daily alcohol intake,-0.004876548672710004,0.01372930542165544,0.028403708323266746,-0.047027863681071376,0.010164036135840746,0.03012573035009948,0.03778511461435996,0.027604725313944842,0.0047986374185083796,-0.011308760478355728,-0.023397057550671833,0.03138242416202965,-0.03049495752857118
Baseline smoking status,0.034594065147561893,-0.04306923705871175,0.008269690892259679,0.03546547690369842,-0.014435851867799915,-0.044984655438247485,-0.06358171968912428,0.04734125429357054,-0.061006841161192975,-0.004234568639006649,0.016010887762936,0.08066528990093919,0.011494041152472493
Age at death,-0.011124105421600071,0.011689240313550356,-0.050443716390712164,0.0007978503469462944,0.03739042193182278,-0.0788245025437985,-0.02280635139752332,0.031855203090220635,0.014179147317270109,-0.05326650074724281,0.055530895966556686,-0.015423028641859987,-0.03037430190158253
Hypertension,0.027401377754178103,0.009104851256170514,0.040997410911530745,0.013559049278140743,-0.03969669004425662,-0.005891740688542818,-0.06415751543294881,-0.026715096418626724,-0.024037526955785996,-0.01682779182561473,0.06476334600817274,-0.034801000056491956,0.07209011687149386
