,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,0.0915170622423489,-0.3194930983567666,-0.010217119946724711,-0.183007073914729,0.07734022279044053,-0.00710601508940496,-0.022169960690537793,0.013425367516907592,0.05229393304503939,-0.027678756005173926,0.027577313080166997,-0.06700123719864981,-0.01967679763333156
Social network size,0.060996678884849935,-0.052523344363854765,0.010082160498218286,0.04869652243812966,0.005059644602110393,0.018753015994219198,0.08615511144887288,0.007033384702056178,-0.038517592160287,0.004810966442763674,0.033177498235507134,-0.03682150904779856,0.023001373653332175
Physical activity,0.01543823802666237,-0.07735620078199237,0.030195351489229454,-0.05292787801687683,-0.011560839038368298,-0.028037581106170256,-0.07101541244312147,-0.004723786044778211,-0.07823485697047208,0.023504792004292046,-0.02054553564695654,-0.005132157245292192,-0.037765601047343896
Parental education,-0.008824827645681859,0.0739713364989319,-0.03910691188140542,-0.007818911827600595,0.015010276531382961,-0.010352195789190001,0.022916046188435818,-0.016442042768648347,-0.0398810402671037,-0.01371001843314924,-0.008208814375534902,0.005995299914225236,0.016555812923333576
Neuroticism,0.04734200750015611,-0.05500574047539248,0.005767238953291439,-0.06186724165846985,-0.0591029815887112,-0.041336716298430866,-0.004271398312700059,0.026749301116225536,-0.023878703469621433,0.017460277790629163,-0.017806823750733794,0.01844008803080409,0.04189166595269852
Education,-0.003286738317048901,-0.06362703001319213,-0.058208496961174305,-0.04773225094996639,0.05957632523824641,-0.04406999562603937,-0.04593729492115408,-0.018159861295032907,-0.04375012243810292,-0.0533257325939153,0.02362659518379345,-0.05600422592447327,-0.04779602393384969
Lifetime daily alcohol intake,-0.047154141490889895,-0.017448654146965694,-0.04492755965235232,-0.03071167088274442,-0.12190529799678171,0.03757709174383365,-0.02340708746539775,-0.031552045953633125,-0.007072408507089978,-0.08292608445568693,0.0065409234022411646,-0.033684121732270214,0.03671420497888469
Baseline smoking status,0.09474325435485985,0.02732073332055933,0.01849474641694821,0.03796306490687221,0.06480791062429946,-0.06630037961846838,-0.03809373652926154,0.08757203954928543,-0.00429800059780494,0.04231847518252213,0.015811768541061127,-0.00045694889280115954,-0.050243677120220036
Age at death,-0.02578560600857465,0.11000314506966227,-0.004755680536985753,0.05722458487611175,-0.033534251131234545,0.10459282390589085,0.07325855094294757,-0.07847712475649966,0.0004149669954610846,-0.040742180831004775,-0.011911025042568257,0.00037838537884066003,0.04781200401970166
Hypertension,0.058321570951552985,-0.1100747537973552,0.0770677278739294,0.038137268500897166,0.013947962804062365,0.06900398346849958,0.02950902676000758,0.029247881106996693,0.07464422110719583,-0.009088121296293597,0.0470274202559607,0.027017824180702976,0.011317812658552808
History of diabetes,0.06413152264818406,-0.02713982989385697,-0.04275355812631496,0.014107247301728609,0.014729644050340086,-0.010834577207394992,0.042531990738944474,0.02680318023642953,0.03759518401357236,-0.017727370190270358,0.055667141280469706,0.0033517350362305,-0.015705699211806624
Cancer,-0.09631983624531872,0.09964363689294738,0.012669211299127781,0.005583681182404393,0.05721114981177619,-0.007899625623307462,0.0039330103379260645,0.02916698625477387,0.036068398830190744,-0.018777484496684278,-0.04272731309533677,-0.005296348445342209,0.02846650051775463
BMI,-0.02943871947094707,-0.05462419898462224,0.03354721064842024,-0.0001583552048459331,0.007305795708564292,-0.011691887104162278,-0.015964702030282517,0.007534786410137779,-0.02133505333160811,-0.011706328197931956,-0.006126594285655923,-0.053194490955294556,-0.011115581473073111
Clinical depression,0.013570532256478382,-0.1231464962774201,-0.027775968596514076,-0.10766263435160693,0.036214607349266154,-0.055345045581789334,-0.04910597141559212,0.04446795058267234,0.02868321463695937,0.0060336748396536835,0.027994830012456548,-0.022710271580784588,-0.015427291725005612
Presence of one or more chronic infarcts,-0.11420756249926296,0.001682147772062813,-0.03981984730500245,-0.031704222415294483,-0.090985685429365,0.04301921910523203,-0.019990915814830774,-0.045512032657359175,0.04329498499984806,-0.0969415813366824,0.005045345684954387,-0.0006821685100034198,0.02285297995566055
Chronic microinfarcts,-0.048904717441844915,-0.03482968472240799,0.04377978364672151,-0.010713631929934716,0.08313099664148899,0.05622216113798913,-0.03418377258731771,-0.0443036428357244,0.0605589412586045,-0.0705483637097418,-0.03363683779518775,-0.035542694241213826,-0.007865791280302362
Gross chronic infarcts,-0.08880271557047027,0.06374489280135405,-0.0191439531334211,0.06530285572967595,-0.06926940395347106,0.03318577793860583,0.014734410212021078,-0.011551377686753402,0.021917374261607055,-0.030236182912639006,0.032580155368389895,0.061095860835955154,0.016055364931478525
Arteriolosclerosis,0.0029180128678348515,0.05293095192959399,-0.018954554634739627,-0.05782447555872951,-0.052237456590527004,0.01993003552271747,0.0139088010738607,0.012079435057549695,0.026334891250575008,0.0027670323660712983,-0.035848436743749025,0.017353556653635957,0.055037799376863775
Cerebral atherosclerosis,0.014784598075838519,-0.06262956185677165,0.06273622371434906,-0.005678559880575048,0.02109545753904114,0.010547181975384824,0.04506349190337287,0.027888498982821478,0.017187367735202477,0.03532172535623962,-0.03230305993832047,-0.034148346253269686,0.028681523151485557
Cerebral amyloid angiopathy,0.057103036971839397,0.13609174939046614,-0.06870701785091496,0.032213219205085915,-0.031295443953607276,-0.03014486127035233,0.06096288859718437,-0.01880543852332066,-0.09812182251386826,0.021323380787209772,-0.014386675255337676,0.017419332683681968,0.021680180445348744
Lewy body load,-0.030479912597904626,0.050195952027598856,-0.1372785810929026,-0.017108760035808055,-0.03359029707633273,-0.0663041765962964,0.06033382005894024,-0.001131934616457038,0.018419175689673665,0.02463281887921174,0.02085763917782278,-0.0611958824331484,-0.03240335153617964
TDP-43 stage,-0.05161289665756748,0.17448201862323687,0.011808089969858299,0.11605903425221786,-0.011450401911935283,0.007512032160396265,0.03152074903026252,-0.0494950690440283,-0.08176285683412829,0.017248794283666755,-0.009316411576721783,0.047274978676654464,0.020611630598194083
Pathologic diagnosis of Lewy Body disease,-0.010227016154327756,0.03796616563513487,-0.11020761647797585,-0.03388692235588083,-0.016153899319956887,-0.04284370560155093,0.026476778627981923,-0.004166988931261486,-0.005513841405694364,-0.002760731103552988,0.008419452884687104,-0.03938076802751754,-0.026671002628204123
Parkinson's-like symptoms,0.0026888513805607716,0.12847114985346017,0.0002811170083428214,0.08579929993301941,0.07944870567556699,-0.02638377989608182,-0.038743481932132715,0.010188448340040818,0.02541185560088062,0.06472696952067575,-0.018862146870863794,0.030344484642158977,-0.023222628083877244
CERAD score,-0.03564282797925958,-0.08842718055598257,0.0720029053355062,0.027962331913182925,0.019578829233884022,0.08487509137145482,0.0027616781271515077,0.021159760428884174,0.11191027234538391,-0.08405011745846552,0.036107650080288226,-0.05213244226807928,-0.008026046707744504
ε4 status,0.08193820341856058,0.0824067836698073,-0.05180590371504379,-0.11321285825445067,-0.023300549302449566,-0.10305615730782225,-0.02179693740566688,0.042412774915593025,-0.042295487083005276,0.0030334638937875268,-0.06425755496552989,-0.013499689714931417,-0.005652609897425629
Neurofibrillary tangle scores,-0.005195621268437241,-0.0014482529910480094,-0.01297031472453635,-0.040602854297387865,-0.02143610257467262,-0.01840272911387165,-0.0032612234927855478,-0.05859430068889398,-0.04586213965775705,0.052270971195798245,-0.005535443359818045,0.022505711296056434,-0.008334446741759906
Neurofibrillary tangle burden,0.017054064509210695,-0.006765274855044242,-0.0012514782674838498,0.007335490736536415,-0.03563983122153011,-0.040456122958306306,0.011001701983793006,-0.027582362593622484,-0.033771371232472154,0.08119421271973665,0.004442556001605307,0.03492837017700742,-0.018107034807351426
Tau Tangle Density,0.07352861570860868,0.00812905620968743,-0.035771282477498015,-0.04144670678720196,-0.06866761323073058,-0.04309858837728914,0.01395970500705329,-0.016124382489298632,-0.0703921590108686,0.06317675728853588,0.0024206581225839335,0.05031384437380771,0.024483943817452686
Amyloid load,-0.053757095080725244,0.044519355591556224,-0.11866638156737049,-0.08315472314739257,-0.13006066679370507,-0.036793749805313886,0.02676793628902519,-0.046798516954101164,-0.08496558600132308,0.07407105437924164,-0.028500794276074225,0.020572023043343452,0.015767930452843543
Presence of neurite plaques,0.009410666847244821,0.05598252537049881,-0.07018093560763625,-0.03198883042277659,-0.053439735919894454,-0.04447064201302433,0.01959632956414071,-0.03942230443221315,-0.10684061463769981,0.09904581047165475,-0.0232324245672631,0.0595491944920021,0.004545114001309775
MMSE score,-0.06590704927113078,-0.01953394198168065,0.11243038077282651,0.04627666392133829,0.0745317929127985,0.04694916796490768,-0.05518577866334858,0.015883813250096045,0.024763338582389053,-0.030994344246846214,0.011973786068579458,-0.012517287419065323,-0.028750322921306595
Global cognitive function,-0.08864285997379046,-0.073146337154715,0.04897535277092973,-0.002517035876935765,0.020664615954651508,0.06726600910252861,-0.07179132554363404,0.014192336397626232,0.009797497551381446,-0.0673830269312832,0.022774897964818686,-0.03854149046089985,-0.018182375427792042
Global AD pathology burden,0.020650966103314,0.06026035331201442,-0.062400051662845395,-0.026304004656106956,-0.0535838834140844,-0.06012501489720232,-0.0038726063914139752,-0.01436208210718653,-0.08095622686094815,0.08826575991468351,-0.026810950692911183,0.054895440506350056,0.0022365020833639763
