,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,-0.008466449766899756,0.08929712486845127,0.024257327472849477,0.16915553814359013,-0.06336483574898263,0.013005225998914093,-0.06832375965754267,-0.00315590393253762,-0.18565181362137154,0.10373280926011609,-0.022090217259604826,0.05131918121142936,0.0486257372749585
Social network size,0.027430634410734893,0.04749837280463942,-0.05220557334609905,-0.019713140162611362,0.07227333427349142,0.029670418034417285,-0.03688467189875343,-0.04384267493944607,0.014328447775947255,-0.05430098491323168,-0.01812342512943998,-0.015097042512462909,0.021053229217562322
Physical activity,-0.024807722266794577,0.06916006139365716,-0.046817383311919696,0.049011613461190776,0.004020644927894435,-0.017540496799278174,-0.03068659375794644,0.05323121626998753,0.03912975907025179,-0.032874157302561435,0.030089843156600574,0.047023197952308894,-0.005442376669852528
Parental education,-0.006522900269106656,-0.05502704363760034,0.05973700240736072,0.016933999500691715,-0.03437023682062395,0.024176490108397602,-0.13582131839542858,-0.00399564862780472,0.06974351241205824,0.0007884898956871443,0.035146729455353264,0.04267168721978782,-0.011211411160465314
Neuroticism,0.0005370670173444961,0.11774218813755084,-0.09707404015532906,0.03762593378473638,-0.018413944307059848,0.027153626047444906,0.045992242137985966,-0.00769268273306302,-0.025915075546722746,-0.037848200063870685,0.01778707354375292,-0.004510759435148523,-0.018714552221230748
Education,-0.03463954439606235,-0.042103251981964525,0.015584323149282143,0.05858772911842927,-0.05550570178523497,-0.007066989415937499,-0.06448977941203177,-0.02468952889949326,0.04359984414804883,0.060344746749854364,0.04239645745113203,0.05259318312747244,0.018188365710645173
Lifetime daily alcohol intake,0.0236234033803285,-0.008863493891982231,-0.021924427663017748,-0.04973906445377842,-0.02987514574349656,-0.017639775310996038,-0.05158609406363176,-0.0007120828240996319,0.03879239898504961,0.04930765050215668,-0.01012260867963089,0.009123779279341411,-0.01951557100155386
Baseline smoking status,0.02802454822203343,0.025800086706087917,-0.015977967882740224,0.019116194905646585,0.10326591817176647,-0.001757543574832401,0.04182181958011244,-0.10749385388510577,-0.03819837067749737,-0.009915861790065204,-0.034194711509612195,0.0130772047687021,0.026141161262380773
Age at death,0.052188796209829004,-0.1479602593250631,0.10942119842576578,-0.08899323276402729,-0.030702506146409996,0.006445912994233027,0.03191273828328644,0.06245892090925542,-0.0734070929751385,0.12272154358396437,-0.06393563505945161,0.0011459789194867196,0.00883105098602523
Hypertension,0.0355001199646988,0.09822113452607327,-0.07779046543284886,0.03602450879763741,0.04547833306688973,0.05872297496884434,0.029143838044768496,-0.006325027139550499,-0.07410151625690657,-0.0008769316919837001,-0.017554371866254626,-0.03142292003460495,0.007974366793380495
History of diabetes,0.05389497431005047,-0.025807150317758293,-0.0025073492045488096,-0.013912419089979195,-0.014959802285114962,0.033046985024872105,-0.018951823464365938,-0.03449943034788171,-0.07754494674946526,0.049197812212402964,-0.012510883028777476,-0.02337946594067757,0.042289466221379135
Cancer,-0.09911669283316667,-0.02757361215782714,0.08476028259816039,0.025475246598894045,0.04514943352515242,0.0440126947849735,-0.036673126781684585,-0.028178674814112323,0.03946731614681515,-0.05671172445380846,0.0025454281508881503,0.015542312724278941,0.005565627141350274
BMI,-0.06682121192020982,0.05472825853270262,-0.0026551503054307746,0.01568760672703875,-0.004602494431201841,0.006547425048072478,-0.0833672680074433,0.03434255560523953,0.0755474544754481,-0.06166099580726746,0.013066513713869566,0.016575554529349827,0.005389544153092261
Clinical depression,0.00854771764696984,0.0028692711874525774,0.013537901784863247,0.05958379444128711,-0.09206276071484036,-0.03629675073740696,0.041181528827582435,-0.06648628495075139,-0.07133291642640291,0.053328067253742534,0.007948522906343658,0.013652482781495357,0.002275016803934029
Presence of one or more chronic infarcts,0.0009541698809958293,-0.0986254922710816,0.06279216602966994,-0.01550905243760333,-0.08249849825315127,-0.056572209389922544,0.02965563758454462,0.025317359846859126,-0.06635416996586731,0.09365583261378767,-0.013867101456276067,0.01735188624692896,0.009330296090232641
Chronic microinfarcts,0.01267862066454102,-0.09120979695406205,0.1134971550995716,0.03551740610511347,0.010368097015080263,0.0063791567975636735,-0.016727083866058437,0.022870486017566485,-0.08179224979081347,0.08989610149739696,0.0027882830280246762,0.09723294120944743,0.028868145155892765
Gross chronic infarcts,-0.01962914216422862,-0.09134039747942906,0.032891832853051,-0.03934908278608093,-0.030132171328867134,-0.04566165403308146,0.07799816855216206,0.0013564980589839334,-0.03209030273932185,0.05769671007646723,-0.02701877646951011,-0.013360114678523157,7.184561346087898e-05
Arteriolosclerosis,0.07331565340843742,-0.010257955003525332,-0.020723866516179437,-0.018636120643473135,-0.034092361094853287,0.012200041148289119,0.0855215883784834,0.0039604521955028515,-0.027363341669509628,0.017511197856707322,0.03183020514417095,0.00718822785708348,-0.028942284756668296
Cerebral atherosclerosis,0.008216050053360348,0.061801286014503756,-0.03133544918891289,-0.020799737014443806,0.009246479531737212,0.0831086897457153,0.053350210449835275,0.016323234398729902,-0.0518001563070828,-0.011404439787910288,-0.028444114226846274,-0.012647347479851408,-0.003604263651183217
Cerebral amyloid angiopathy,0.049872877952145754,-0.01821739194593582,-0.05955284637895754,-0.047644927860944986,0.036420636884300105,-0.023937932147796152,0.044823880568379354,0.005317527816250053,0.059531987095741576,-0.024988094600283707,0.009412672737793054,-0.04141351911825629,-0.004957665774068272
Lewy body load,-0.025604294763604544,-0.05475868623623995,0.04942927465686908,0.006782515760623653,-0.03315300565772459,-0.0614867594772271,0.043012790399695335,0.0047108556705539924,0.033792538602678945,-0.01984632055822987,-0.009477976018544554,-0.015634558353404677,0.028913955528771393
TDP-43 stage,0.00432486310781981,-0.07343897354161676,-0.011904607333390842,-0.0671641675588572,0.03551977222657447,-0.03441322232333097,0.04931148059737826,0.010063007343432458,0.027785699011502546,-0.030285925652830156,-0.008781540473042042,0.002424274789239553,-0.0423503458153174
Pathologic diagnosis of Lewy Body disease,-0.03364005427179215,-0.04445345576761936,0.02321299032806972,0.029415798109598,-0.04465503785988819,-0.040570071500268715,-0.006491898005217333,0.021846224207132902,0.05278649592961016,-0.03196848021320319,0.00917900031289942,0.0074351536983882065,0.03166155086630451
Parkinson's-like symptoms,-0.008557015710141566,-0.06687523173408894,0.04647962031994525,-0.02538266478669228,0.020786445379991567,-0.05593626001098042,0.09380144383908073,-0.04278059042707871,0.006494246889452295,-0.010609040234870231,0.03307370384278395,0.00524924139473655,-0.034734146381059885
