,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,0.09714232534466646,0.17356342751965537,-0.16092294813937508,0.06558023770190942,0.06224040504578388,0.007929939478087665,0.15457487820897234,-0.08926739158609008,0.01594098649684384,-0.09273133639083958,-0.03448788944877068,-0.08538241942975448,0.05341931674054877
Social network size,0.03899306878967538,0.04161152652646279,-0.006984569009273373,-0.01856465973689507,0.03267209052650178,0.019535880726442013,-0.030512738923953044,0.015459055557476896,-0.022596246273950984,0.04419107150719045,0.06397480270798471,0.03789360567366805,-0.028571647692783225
Physical activity,0.013635014161701126,0.08806013712120589,-0.009841895716526904,0.016063915120976355,-0.04621531730030111,-0.11737441581016769,0.058971221574505246,0.02124913017096842,-0.003968692143925292,-0.00345773489228673,0.043883322038532714,-0.018816672061852096,0.009038001848341397
Parental education,-0.00022911290414912106,-0.05583472218475449,0.0025620951581147118,-0.01678825456361981,-0.005693810563661646,-0.09053671408724949,-0.006984816871220917,-0.04220233019164676,0.024850214844944766,0.03007619773089788,0.032199546435087774,-0.0015189591044140647,0.015020455687108289
Neuroticism,-0.002510901528525535,0.09034652084756904,-0.017842075108787433,0.0250776015818724,0.016873529128439254,0.04674769826994024,0.021808053218323235,-0.004789223968066236,-0.001069963974901952,-0.008574450548537317,0.0038422623262885786,0.02018505237634951,-0.0026190570352302993
Education,0.0016956284019139904,-0.01067167227949471,-0.08030915491422236,0.020046296702397343,-0.005401303905268727,-0.13761814959078747,0.013971635368843402,-0.0072589271444552204,-0.011613463610326948,-0.04831428515201133,0.08256413009037239,-0.03729297563628271,0.023208947594975302
Lifetime daily alcohol intake,0.00170948587318294,-0.028866594083147568,0.014131307356869979,0.029754262676089643,-0.014403807326946688,0.000534056167850012,-0.008011037949348787,-0.03678551503071705,-0.033902123580339116,0.020507460281961758,-0.02114693551129477,-0.009356299302747716,-0.009672997002730981
Baseline smoking status,0.05667029216910981,0.055260264755664215,-0.049422349905255215,-0.06027271864192444,0.09654509316584711,0.09830803053530107,-0.07904285277714859,-0.04236939741433454,-0.030843946216762244,0.03386134928181386,0.006375947540470557,0.021948101680760192,-0.006848057443805839
Age at death,0.021316828644316083,-0.1578129617081948,0.09137766531250277,-0.04939120251171688,0.011095045335582275,-0.03639101872762772,0.04912863084523233,0.037283475880736515,0.008606532317070724,-0.07787779595742397,-0.08692584828894924,-0.0812388700458874,-0.0075049309356873825
Hypertension,0.06703997010872007,0.09587516921713107,0.026926211376333678,-0.04890940785442064,0.07148534171051196,0.09262461704013936,0.015612888314588184,-0.020495198473417502,-0.0019249889007754881,0.03410663136600223,-0.08575474962706747,0.03250558783726603,0.004433671674912811
