,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,0.007994596008685717,2.610139947876453e-214,0.0,1.954507744822263e-159,1.086511216306674e-47,4.134016854902413e-45,0.0,4.7670447480135604e-14,0.08967854469402829,0.0,0.0,0.0,2.217176294941256e-101
Social network size,0.020757188946784313,0.0004953041567492249,0.2147243929243121,1.4138133548678942e-11,4.1111824089311904e-70,1.6358719811492245e-55,0.003345866433644408,2.865781887883238e-07,1.8420263561139344e-16,0.00041254638889508266,1.356738781663194e-05,0.06329372155418032,7.469889546624547e-46
Physical activity,2.2366224780441478e-178,0.0009456547942103521,2.5350533984566858e-15,1.5964648930609377e-38,3.719379321482896e-06,0.062422315075969764,4.086924123483011e-98,5.621456212937777e-25,3.309759624861121e-185,7.366975564991514e-84,0.002404680422729548,2.319032096589093e-70,1.1640368115872426e-17
Parental education,2.419906404339911e-62,1.3388969461546563e-44,8.168250519396185e-35,2.6796700257510356e-62,1.7489730227438255e-05,8.683857615748254e-207,4.974363314091211e-91,0.00019280982656814236,1.9712841215259555e-232,6.802549387278299e-107,2.39494930526378e-08,4.344951383282618e-13,0.011728058992553267
Neuroticism,0.0029283172711679706,3.543263995789453e-22,4.687198631692788e-15,0.00234545136203114,2.0947103932731197e-25,3.1072106657145185e-63,0.1178429897756488,1.7680677711306242e-54,4.716905575784974e-67,0.47353584916306435,7.295391716218259e-53,0.2982329743399006,1.2346441300101276e-09
Education,2.0167710454825095e-11,0.00033223288976449517,3.233240765983945e-131,0.000297220595288223,2.3351642554155513e-44,0.00013202062905541334,7.867417714646883e-09,2.1159256538546812e-29,3.229714574196343e-05,1.6603662583148272e-28,2.8231621744083687e-99,3.000078599016406e-13,1.111998088348437e-11
Lifetime daily alcohol intake,0.49600170963899903,5.057806319586083e-09,2.1411111007667084e-80,2.6830904883717793e-105,1.0742647577219747e-259,0.19793850763776344,2.4385479047313127e-12,1.2175675514663518e-102,1.3629662256042264e-17,5.208232225408264e-06,3.3809682707458096e-48,3.1308520875690744e-22,5.943364136762884e-05
Baseline smoking status,2.0778273304475927e-72,8.65332376418867e-25,0.11414798035581959,2.3127758302630544e-15,1.8865368662735705e-05,2.390547424177064e-77,0.9285266304445894,1.4186028881605818e-40,2.367605529718613e-97,1.9220482349014198e-59,0.8785777491573964,4.702113954954873e-18,0.00979138561952517
Age at death,7.218276745783768e-194,7.339226758517694e-14,1.2201940873730323e-44,1.7528267227428752e-22,1.4008230729754726e-25,4.2902789701024865e-16,8.408366131967061e-38,2.3894092292931716e-21,2.1904895891293142e-09,0.0,3.970003125072012e-186,0.19234638092679646,3.175762032254317e-07
Hypertension,8.887510219546725e-31,7.450565687184933e-17,3.739031517844003e-10,1.7977245408121136e-67,5.657730848692612e-54,3.9178018019120217e-07,1.3780392799553684e-23,1.3737665859908603e-14,1.851183318092488e-30,1.2088375776194614e-07,1.1485342211920722e-13,7.91868071138787e-14,6.808732188410507e-26
History of diabetes,0.05840290892844513,1.7449856185160127e-10,8.351158345407892e-25,4.212223360238068e-137,0.005367554664813885,1.9061083427730838e-06,3.3772405452449395e-10,4.569764491189017e-10,0.00010362028116732074,1.0921511514657594e-41,0.22775726347985803,1.1983225797896093e-71,0.9313274435575049
Cancer,6.998118224753526e-07,6.0408296572055285e-59,3.5109087952964024e-07,3.6257806759615267e-106,0.005380471874910546,3.8124812335947767e-87,2.2707950052019605e-24,5.424176845417223e-17,0.0,1.1387629593181346e-58,0.7990376799191459,8.172470851469803e-33,0.9612292256237795
BMI,1.743299200861103e-20,2.5998492562391276e-05,0.17098510625091978,6.448047069832172e-18,0.0009213146715705253,7.786923866590489e-05,0.0016065131301845786,1.8471327146170363e-18,1.0237358443466637e-47,6.162423227192874e-66,1.4558243442616555e-42,4.548790897875342e-134,0.08800419551526266
Clinical depression,1.1631884674759224e-41,8.404605233850824e-06,1.3622998078557014e-19,0.10613718183770976,5.924571476594156e-14,1.6116866167738563e-24,2.1601587693529788e-26,1.1119578096777777e-26,2.6348352695700047e-80,1.093064961214486e-49,0.9569598167515841,8.672221616561602e-49,8.55171960222833e-05
Presence of one or more chronic infarcts,3.436503216793573e-12,1.4536496014397453e-85,1.4424318299518494e-72,7.451566197806555e-24,2.8529018825863894e-105,0.001836060748129326,0.023072716227889548,3.838967631392348e-32,0.22549952912549343,2.2796534044643997e-99,0.7107617842022711,1.427299590727613e-26,2.3756781360407403e-39
Chronic microinfarcts,1.773586399808779e-55,3.685111882309512e-198,2.5975079605699657e-109,1.0723979011703343e-20,0.002262280140251419,0.0009578540679055584,0.9411960564921709,1.653520118124494e-28,1.6967001713481436e-28,1.8497849085609976e-53,3.6844352715890656e-19,2.5270605382266334e-05,6.820241056147922e-22
Gross chronic infarcts,1.248944894909466e-21,0.04119239535185196,1.1795304248363147e-26,2.9077424847138493e-49,2.744302494226138e-84,8.814836545896726e-24,0.017989315691226443,2.5982006130071537e-25,5.507929457049969e-44,2.139974686796335e-118,0.22080094714271026,6.063412555250702e-66,6.119346493603162e-22
Arteriolosclerosis,0.03963240128969232,0.17323596237500438,1.8369998183182279e-34,0.7606692798519037,0.009516408774068754,3.568070358029849e-167,0.7252265746395721,0.0003095799456953016,4.486354112561527e-100,7.4365462568627e-05,0.004073761133330063,3.3792347777402666e-181,1.8317631187587997e-11
Cerebral atherosclerosis,4.085013188768773e-46,3.3425976986394937e-19,0.00020765407983309815,1.04620931025223e-57,2.5464694224194325e-97,8.576276462770715e-88,6.7228256044004985e-217,5.354460381103975e-91,1.791917881595161e-30,0.012879547785424486,3.477455827415736e-45,5.294050718429995e-123,1.7613507734920386e-159
Cerebral amyloid angiopathy,0.010194216618797167,2.6777137477324536e-12,0.9860097262980722,8.051273128764979e-10,2.9342179292101106e-40,2.2254026419464198e-15,4.7273314470949936e-07,1.835549858830945e-49,0.045862075421892586,3.7658618617913035e-79,7.300018654759543e-35,3.4281400074323006e-10,0.010644731860715417
