,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,5.931438272965244e-59,0.0,0.0,6.737835000689431e-08,0.0,0.0,5.308291748706698e-277,2.4751433196249887e-230,4.1575160335429796e-51,0.0,0.0,1.3292234773740538e-230,0.0
Social network size,2.91222806948415e-14,1.4799700704075986e-73,4.822090802290479e-163,8.418545182986239e-05,6.489202266903615e-141,6.971357268078406e-26,2.6516967306167635e-82,3.017789190528638e-57,1.3782640866879853e-94,0.9053635657403207,5.4628165013248374e-11,4.597009956998777e-88,8.34912099340305e-12
Physical activity,0.0,4.180665391558636e-22,9.318765221359285e-59,1.091060843867745e-25,0.3627640973029346,8.652463372459193e-181,0.5416850719614268,9.522982375868383e-15,1.8945719788636115e-69,0.013756906510754948,2.0133399912482963e-134,3.2930065781816793e-22,8.610461933035926e-80
Parental education,1.7854152182759284e-08,1.8975740190076827e-06,7.032012007550173e-26,5.826750987973894e-38,0.027858901615355605,0.0,0.0,7.070401672257323e-25,5.598776773149207e-40,0.00013988601619248727,1.5834563773131175e-27,5.0215653401114153e-85,8.237122317315235e-115
Neuroticism,2.171236828982132e-80,0.7528628360085152,0.6243959519156479,1.4159031437878363e-218,2.1338132559788276e-51,1.5367754256039528e-111,1.3784451493901778e-24,3.846057213943849e-29,0.08417871109107829,1.7864610035211466e-41,1.720026160040968e-113,1.8990439531124434e-06,3.122745560688387e-99
Education,9.46312358295658e-05,0.00019467035586750826,0.000756620939639464,2.6676894734139657e-19,5.276690881871528e-116,2.3761315312234136e-93,1.2124056376923277e-19,4.432002481226357e-56,3.3322617715659875e-56,0.0,0.0,5.037827836736732e-40,4.491667524482873e-225
Lifetime daily alcohol intake,0.00022709092617421924,1.5947161329036794e-09,0.0007145714308998286,1.948422371450003e-33,0.0,3.1873423060376307e-97,9.639913372101704e-25,2.084581283637289e-161,2.3115228271951102e-14,1.668910840915884e-32,0.0,1.4477302106580354e-28,8.221271142413207e-29
Baseline smoking status,0.0,3.078809658951566e-87,0.07913944712717674,1.23449921810399e-173,3.6533542922207487e-13,0.0,4.907479230325226e-89,9.631740108733147e-115,3.1361530108340704e-145,9.912290694107183e-84,6.151699762815447e-139,7.955247821859737e-09,3.259229300756002e-18
Age at death,0.0,2.105449349876941e-245,5.5172859885604e-15,9.121283274471703e-19,0.0017108466991540277,4.716349009709863e-10,2.108383793512105e-06,1.4982287906623253e-118,1.2867960625117203e-58,4.362257489055554e-244,0.0,1.6547937823850568e-46,0.0
Hypertension,2.1505986481673963e-25,7.598328285374019e-114,2.2218309394516374e-07,0.4945224584983483,0.0,1.5530381033704327e-15,0.0025648445720978207,0.003443062816357983,0.17711441045458998,7.76237391584697e-44,3.4300716792753816e-42,4.7122127807237254e-05,2.5655286936249798e-23
History of diabetes,1.261172824823294e-107,4.377590464822909e-57,0.10949897253270335,1.4653329760002725e-82,3.4839565137757927e-128,0.004200728891761887,1.728436995051576e-58,0.00030509289800288237,3.329930065617505e-07,0.0004616703560757375,3.218479737011192e-21,0.026497337472981865,4.237174431688439e-05
Cancer,3.557379884448776e-69,3.3079202002363716e-71,1.516555054139008e-36,3.380358907219069e-55,0.0,0.0,1.929939151107009e-16,4.433416877084939e-37,2.5419896661207794e-14,3.112633380078736e-12,1.2224254752042174e-06,5.745630574230011e-09,0.07768674032999821
BMI,8.07096503243954e-13,7.336624553242926e-103,4.69266880238816e-11,0.826249579425614,1.0378462422518516e-35,2.029748440159144e-17,4.0059050895928006e-07,0.32302786063086286,4.91474474456893e-91,2.2534709566025247e-38,0.0,1.6099069835298682e-08,1.5822996956701193e-100
Clinical depression,6.378849163792925e-47,0.001027424475580719,3.088830037579516e-17,0.21757302928298805,1.81334900951549e-209,0.0,1.529738503580032e-07,0.0027148403684572188,6.051870475206286e-73,0.0007853661876736911,4.4627209422560735e-97,2.230375826481776e-08,0.012803043065107197
Presence of one or more chronic infarcts,0.0,3.239447891120939e-48,1.5202890604123847e-21,5.14883833328494e-06,7.593899522676794e-249,1.7732128156461056e-112,3.617196638836633e-99,2.098242417428192e-07,5.915391348966183e-99,0.0016807684574277357,0.02850080359884433,8.46702355903972e-17,1.1948362372489918e-132
