,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,0.4084574158854858,4.677462161910989e-31,3.533756504537064e-13,6.471920725162724e-138,1.3837583268753036e-226,1.5125055966939582e-96,1.7512951343858822e-296,6.625997504093996e-252,4.9327009110198e-112,0.0,5.926758495688971e-190,0.0002785516618835918,7.365146731534028e-38
Social network size,2.068794993134253e-26,3.291931858186336e-26,2.5798553975587984e-18,0.6861842032483496,0.11335587653387753,3.277169501500333e-05,8.777125023533247e-29,0.07103579198522159,0.7575013987805209,0.2602406186104319,0.00857266868493728,0.18723779999670853,2.095874097043604e-34
Physical activity,8.098347695696898e-06,1.5514584960363465e-104,4.5211719897792376e-32,0.8323794147647463,0.00047823179603729475,3.125260954261196e-37,1.662552199884124e-24,1.305913334614497e-08,8.820962760410157e-13,0.004912010429908296,1.1776104878209917e-26,2.5520420853413493e-07,7.427956112384464e-10
Parental education,1.5983801241971435e-11,0.04135794708319744,0.005247441635648347,1.0163183380556507e-11,0.8560423552192815,4.404120603120251e-31,1.673911337267461e-212,9.679170956838967e-17,0.01060144814803379,0.013668992476125338,6.901592934881204e-85,4.625263807680162e-15,3.367620140170212e-20
Neuroticism,0.00012112481184835813,3.1213779649443014e-08,1.415149007903527e-21,8.617812474553171e-31,9.592224432816414e-05,4.449398356074858e-54,0.03058987985843559,1.635463741483489e-26,2.85634130413365e-16,0.4852664862951288,8.233165558131577e-11,6.226978444560397e-14,5.354743279724197e-07
Education,0.10316650714265146,1.8108300741300894e-06,0.00010480371240190874,1.2827546307590406e-14,0.006220683456311026,6.555065384606662e-17,5.957581919436021e-09,3.3699655266500975e-71,4.3768293712830045e-40,3.967951788585573e-31,2.228307201785522e-54,0.0505902799875716,0.18548938905123735
Lifetime daily alcohol intake,4.983707663027773e-07,8.001005523102644e-18,0.2659246070102993,0.041694531349706764,1.7735516273978308e-150,1.037875012636932e-66,8.01003899272701e-15,3.074268281837147e-17,9.170526003652526e-165,1.3810972644394348e-60,1.7374163800275618e-44,6.205316056290579e-07,1.777720116092876e-32
Baseline smoking status,0.010893659123865194,7.258626219566836e-79,9.084138601055432e-40,1.0426370125021085e-28,0.08500627242769744,7.240989764688372e-37,1.3577573858735823e-83,4.448225185421771e-42,1.4366574870817617e-16,2.315519740369989e-28,3.942988558658721e-21,3.6684784691912892e-09,0.0036440312538292196
Age at death,0.0010406575212643725,3.7660369299675957e-93,2.335947190442006e-59,9.759400452440792e-13,0.5807937745596252,2.6597035907664306e-07,3.2619269268343746e-41,4.0223661532620037e-07,0.9009080781422807,6.801211991830603e-84,2.070471725524225e-10,0.023916626978744134,0.5267643666418228
Hypertension,0.3533763661087099,4.9232474472704757e-11,0.9696686694365421,0.0008577341796213909,9.634163478925341e-27,0.09170006385098804,1.4585539227290069e-16,0.13525033711578713,9.29602429709322e-39,8.487422814233337e-13,5.490047779054415e-94,4.8839014791096284e-17,0.00014121086056947577
History of diabetes,0.3277293518126073,9.262287890099021e-55,0.0009638552079459147,6.12990328824012e-07,7.118767591733169e-08,1.271771122184412e-13,0.0003566074988178999,7.189219568034442e-07,7.5048402411961956e-59,2.739187201767557e-16,0.00017759615922754169,6.370782689421642e-08,3.802112137437171e-25
