,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,4.957158135053784e-44,0.0,1.4943583172870758e-20,0.0,0.5917003968448604,3.1334492816265253e-38,3.0509833195868742e-06,7.344521502741377e-43,0.13160703207966948,1.6550060164183617e-08,8.654022639249688e-54,7.339226449192675e-36,6.962142323226377e-09
Social network size,9.49128796945753e-28,0.00041937843929646697,5.818298321633946e-34,0.07678414212907274,2.955699831962242e-13,1.6917221128916268e-12,0.00931870720647376,0.10456485222603558,1.2330834439905827e-06,1.1661643615572393e-36,0.005852874282268561,1.7274268006124992e-15,0.8951692170768333
Physical activity,1.854867436054384e-189,0.050566124710287826,9.314235581690258e-38,0.00033817366962154543,4.810549953622691e-48,3.592937960831937e-06,0.025586885684209516,2.562499875330233e-09,0.0005983208974049265,8.374464176561331e-09,8.074281787762213e-06,1.6943927323897345e-40,0.003564829043061838
Parental education,0.43408854147357256,7.224246192072635e-42,0.8199321234775181,0.10603087791229784,3.6886152562590784e-15,3.077193867504727e-11,3.852880072027563e-07,5.066773533396878e-14,1.2900369099042015e-27,0.01690844766948633,0.042523969382929766,3.5632087027921926e-07,0.3582663881369045
Neuroticism,0.37825987222232194,0.6868555985340503,0.884912599977324,6.5767192139087895e-09,2.495739152320739e-14,1.4812141176605283e-09,1.645620581182627e-15,2.910105173268366e-09,1.5322526324132362e-05,3.233902543345881e-09,0.6020300228197535,0.00467912452687547,0.16457793907915752
Education,0.00014060466197561523,1.2872590819472635e-10,7.008050631305476e-06,0.9030297967297034,9.372738628838958e-32,0.004927253080048869,3.3701557380991428e-06,0.003508198759864901,5.626588036989442e-14,0.8965688362607518,0.2725373713222755,6.912787298007546e-06,0.02683123187619478
Lifetime daily alcohol intake,0.001325284537458472,6.054500473098637e-07,2.6694318295704286e-20,8.323587683479558e-36,2.663250800116721e-32,8.353332211283174e-15,6.627222692443806e-08,0.4302935777038652,3.4287592581551485e-15,1.3355225472207468e-07,0.03959024532914154,7.072186043953147e-26,0.01744744417712262
Baseline smoking status,9.626482632231068e-43,0.00013815808401659597,1.3461684084375882e-07,2.942845815423232e-07,0.37318995038432157,1.7662380421375619e-07,6.427077493476073e-09,1.4248778944089383e-18,0.000241007739320921,0.2840959976029621,0.006238448153757456,0.22545845091468697,0.9377053376684834
Age at death,5.90247646904416e-21,0.03910457158671582,0.49096205447308783,3.07628167323353e-37,2.3563320336112118e-17,0.002675006664628924,0.000529517238553628,2.4700570688651686e-15,3.752453782271065e-24,0.73870415363926,3.086542196715716e-15,0.11291712738273117,0.6478969393801204
Hypertension,3.9759323045502374e-39,0.8791664821591334,4.548304796552671e-14,0.011680125606284538,1.8005002992890454e-06,0.011438061972570713,0.7282150307609867,2.1784637712720746e-14,0.024784013039674285,0.04944754015098526,0.0005149679400834884,0.00020679328847312355,0.8693394912239931
History of diabetes,1.8210790980502013e-07,0.004290534674843692,3.9001359044230854e-20,5.830489304378444e-05,0.4771684333376327,0.2798509623685379,0.4666188611043892,0.9532706874910954,1.3139556122186674e-05,0.14540069826482704,1.0816390752998434e-09,0.29187378452699086,0.00019944308459443236
Cancer,7.106106508224492e-31,0.036845029517046275,1.878755032110787e-25,1.665426768721514e-09,0.2977808127418965,1.4279917351749224e-08,0.26089306176639027,0.003621835631066009,1.7960766396269275e-16,8.08563247963012e-09,5.7395758096520816e-08,3.5451011952691964e-27,0.00020565411770050006
BMI,0.039320891840553034,2.9447934054527446e-24,0.6760821626889724,8.792790288397725e-27,6.347395435734871e-24,0.004519368847278128,2.6311590711064592e-11,0.2222873434965742,0.0012924123967146266,0.00041634504408016247,0.00010543056543572892,0.00013089448264373335,0.00012762268171853544
Clinical depression,4.141834731702637e-14,3.951763673136054e-05,4.081621374808867e-06,7.938267921848797e-14,0.682393375137761,3.2986890912562747e-07,0.38215659840187344,0.004075188844762133,0.3411604852076242,2.00066971468122e-34,0.5232908423669181,3.9794037680316184e-11,0.3544884488237656
Presence of one or more chronic infarcts,4.455114504736113e-33,0.0440110018061703,1.5799543852935323e-08,1.0609756043679766e-40,0.0017434276946706258,3.0247389291247103e-05,0.00023054633529144019,0.03673790750887443,2.348198073684522e-10,3.484548069184475e-16,2.443195395722787e-07,1.3044838690956874e-09,0.018014533521754587
Chronic microinfarcts,9.641699774538232e-69,3.360637603843583e-30,0.001396258913642061,4.067593858417932e-05,0.004562706338654636,0.3786041478818609,0.045857563577255345,0.014632945575122694,0.19663055373058624,0.9165992706589005,0.44730578387116626,0.028168506995824086,0.24589089498117767
Gross chronic infarcts,7.627282635433954e-28,1.1709412012380672e-46,0.00014334202713771856,1.5773152709514823e-46,0.0013466239544204285,1.122281008370469e-14,0.02743687935362267,5.238358341619707e-06,1.4832628985840696e-18,1.504348426705494e-27,1.4161990955616973e-15,2.463148505873387e-13,0.3501363404907739
Arteriolosclerosis,6.988279027330729e-05,2.89508897126836e-50,0.07146088447833371,0.16173292120578042,6.1609793589368774e-33,1.9115255756526765e-20,3.0504203725839622e-30,0.2792182702921898,1.9283852537748716e-07,0.34945708090029726,7.013223209329214e-28,1.851470505232805e-05,0.012210387358537755
Cerebral atherosclerosis,5.873101705815418e-29,2.6697475493694304e-132,0.011947803229104211,4.883100610671044e-13,5.940426995965227e-36,5.687757005605667e-22,0.01063223812799086,9.302417619870369e-16,0.858860944179378,0.7449056573875334,1.0434168912163552e-50,4.596564445753334e-06,5.833913301028656e-08
Cerebral amyloid angiopathy,0.01751695951793074,0.041173731245501145,0.6600787410568008,2.874998622439015e-24,0.4486189814504973,1.3730990794715044e-28,0.03079394141427958,0.001256366066064306,2.6238148873506e-09,2.2923027872959157e-61,5.39541306572861e-07,0.005262976520462896,0.003952428343677221
Lewy body load,3.5242434930588196e-82,2.925982802809026e-31,6.3790791259274246e-09,3.689978014056121e-27,0.007753201524460925,0.0005067907260637569,1.728058376023661e-05,0.020015531021705,0.0677097149932476,0.07040808106255543,2.3197221891323061e-07,8.964283130865498e-21,2.1341464995386742e-06
TDP-43 stage,1.481779506634945e-14,4.1209746984895576e-23,0.16369957866293505,1.0592765345057045e-42,2.1391581168723743e-107,1.0791478176697536e-14,1.723570673650653e-20,0.00025707662268674523,1.8481376139645794e-07,0.41791793228961716,1.4542225283980863e-05,0.8524437498274842,0.09342988442504567
Pathologic diagnosis of Lewy Body disease,6.290870416050976e-84,1.1498138734946797e-76,0.20962146791360958,1.0514667516973847e-21,0.022384647670225577,6.663622446787603e-11,0.6541124371516798,1.49265477921904e-10,0.0007447322788122566,4.497991866468233e-07,1.683040613564945e-21,0.0001274131350996027,0.0011873546727019745
Parkinson's-like symptoms,1.9518196022829155e-36,2.2002129328729327e-12,3.4678035702323825e-17,1.657079803995126e-09,1.8679690426293116e-20,6.44103932034009e-67,0.4699873166982492,2.7268350992619647e-06,3.527336094876441e-56,1.458257262281978e-23,6.473406044609927e-22,2.7869457230579096e-05,0.018684728895749673
CERAD score,1.3924791954840882e-24,3.408895193964925e-22,1.2851751052846957e-22,3.577286812372801e-72,1.5628258497764414e-10,0.5531969068122438,0.14328472633975697,4.872252009446835e-62,2.2603105779399517e-42,1.1115677771142341e-42,2.8773136824511432e-08,0.6479639031077142,0.5325457227061956
ε4 status,3.643888249979709e-138,1.9341985216447888e-08,4.809103427928199e-26,0.0006012126306495291,7.476607493543661e-34,0.0006491030335441746,0.20370716918024157,8.758037780971557e-23,0.012251357596931628,2.6879031457937997e-11,0.9301528945181825,5.642269704233669e-10,1.5027821247728955e-10
Neurofibrillary tangle scores,1.3861771110958562e-32,9.847401288632655e-22,0.00013852949496886182,3.520442969973478e-53,0.5086278620810711,4.299563384400069e-34,0.07089879582539729,1.0478765842890983e-112,2.411435130678637e-44,1.3483777014417992e-15,0.00029304858813118754,6.727535960436688e-05,0.6906393458966683
Neurofibrillary tangle burden,0.0016708290528077378,0.01767928191465063,0.09139280716875446,3.6513910425852444e-37,9.582454387757283e-10,5.154282478048828e-15,0.24672107395611276,8.111068288227161e-86,9.346784024265337e-58,3.667658832642616e-23,9.771961812784067e-08,0.00060800806542196,0.41561481872581996
Tau Tangle Density,6.683158586990191e-06,0.011120815523145424,0.23980680829805323,3.2297550809201096e-36,1.9680499931625212e-18,2.3216056078563245e-12,0.3082607711226345,3.5703597327932316e-103,1.6536351264468461e-49,1.882627232446872e-17,5.121665196410493e-13,2.776563678859226e-11,0.880769007366423
Amyloid load,1.4474979651683913e-83,2.7987203413499297e-62,1.018803372950537e-33,1.5764733855597382e-111,0.026178813439369307,8.592241096755688e-16,1.1184332810584054e-08,8.399565164272688e-134,5.8230897630773295e-06,1.1901107063625232e-11,0.4590878918326049,0.1250080705369537,0.7080783875276113
Presence of neurite plaques,9.695163805649044e-24,5.3376426174365264e-20,1.765153013605635e-24,2.8593125176553846e-40,0.015262906428117722,2.352947810774118e-11,1.8561354807271207e-07,5.889452984147799e-48,9.740059468259215e-22,8.230266850324598e-58,3.361717199661937e-13,0.045917963318234396,0.00607238104069326
MMSE score,0.0009511724065046754,0.013521999030507534,6.485815081030745e-38,2.1555814463895506e-20,0.0026341627323844944,6.84332746704708e-16,4.592423113582592e-15,6.37715408098133e-99,4.5374398845970745e-56,3.204657493468097e-09,2.4819119098533645e-29,1.6547829131511884e-05,0.674977961331992
Global cognitive function,0.5228142520350633,8.644640819482925e-07,7.826348543500323e-25,3.7360008052028756e-14,0.8185107999880861,2.777220312059971e-15,8.788612410261968e-08,8.470396699783992e-49,2.322992247389704e-33,1.1808649999337204e-37,8.685510336530158e-37,2.059305490114377e-10,0.010844862863803376
Global AD pathology burden,1.0406990354337247e-13,9.129355004686106e-16,2.1182625228945114e-31,4.742089142671193e-77,4.334289426537336e-18,0.4656030192342805,0.015820586758328172,6.2856536383988525e-84,6.6611762821403654e-40,2.0244424483995728e-38,3.1331631594005263e-14,0.03885388213635778,0.28783031660907676
