,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,2.774209469519154e-157,0.0,0.0,0.0,5.988649950209948e-174,0.006933370393154959,4.080407583243922e-94,1.09113919321728e-248,0.0,3.707484624948084e-85,4.328268864758256e-142,2.5511557321724674e-173,7.582913884422462e-08
Social network size,1.4724691914544022e-65,1.278795550651706e-35,9.817065107888718e-39,7.821809170080673e-08,8.959165929603692e-05,1.6259135807066585e-18,2.2787267593946456e-82,8.174053041798996e-15,1.3642361389417587e-70,6.709921230629685e-246,6.39234694226765e-20,1.3963503853501078e-33,0.4640011896838463
Physical activity,9.474117899519545e-10,1.7833269036444888e-150,5.048714348417906e-250,1.4364753520238639e-05,1.829323920392222e-19,1.3680456980557156e-145,2.4005017881432827e-47,9.021801499520383e-26,1.2264021327813892e-53,6.242840482308867e-35,1.142291610713321e-24,1.100872484697676e-08,0.000931078005475034
Parental education,1.0759049899892154e-16,2.1949849915983225e-28,7.746480847788966e-12,8.800291229474414e-11,6.4779993607374e-12,2.5109798845931126e-97,3.919377314500616e-36,2.643172700001565e-15,1.8144745232811313e-99,0.00013227441204100937,3.085199608081512e-42,3.475888002838959e-32,5.681363650313039e-54
Neuroticism,4.738552759919814e-38,5.106821739648914e-117,0.002444388837078489,1.3908699924525098e-15,0.841967098189186,2.1637519477079573e-09,5.033880304756953e-37,6.267273565020921e-06,0.8617576094909375,0.35031764270843924,1.2624165786400226e-134,2.352875233141301e-07,0.02751180905082394
Education,0.009232215553029343,0.015767013419499445,1.8241040125650152e-17,1.7420884880190328e-45,1.539081610580689e-20,3.007482432991339e-267,1.6445533783372492e-75,1.0493655715580706e-43,1.092828780746704e-30,4.2185048376168434e-154,1.5791017282643602e-51,1.475753151455718e-10,7.637680156452892e-17
Lifetime daily alcohol intake,0.2538362832690989,1.0851795856265379e-47,4.7399602750194654e-39,6.630097864582105e-55,6.30349265674217e-65,2.0532952650670217e-57,1.969032191129586e-11,2.121806808457376e-20,0.1885990077625359,9.960373403678526e-09,0.05735021756404136,6.458547338592312e-18,0.777536185018902
Baseline smoking status,1.7660532170669678e-94,2.1943627186739626e-19,1.5505634420895313e-16,1.0185671279910296e-63,1.6022072913021878e-119,5.65940181716266e-150,3.560958926736291e-11,1.2130864565384578e-13,7.672464325647422e-78,4.3302283675904087e-85,6.198259866571545e-17,0.00011208513440050273,8.039176086569186e-08
Age at death,1.5526136417337009e-28,4.710329852529521e-183,0.6040772166569877,8.501727399858692e-115,9.72327805222224e-72,1.2258848645375332e-16,2.793914871036335e-69,1.3042932540316992e-101,1.61305330548934e-58,3.3367193202476624e-274,1.919240577211882e-61,8.555636998043378e-66,2.0618467107122691e-25
Hypertension,2.9978981519590372e-121,1.2341470103426155e-91,1.7681133277334914e-22,0.8592058067277215,2.0246781843306486e-12,2.403174721735345e-186,1.4006554473969954e-44,6.67777258248371e-81,3.632420840943271e-100,9.977498252372625e-128,3.861441872283134e-52,4.702875351521395e-79,1.5850649742381435e-19
History of diabetes,7.739826573680985e-51,0.06310482275868694,0.09761886715665638,0.00010313313673777429,0.8488898917709067,8.093852172853785e-26,2.8706873163634595e-08,2.062252612292762e-28,3.2511663800565736e-22,4.696834308303741e-80,0.0005949495671471491,1.865985120795441e-64,0.0003319612004999839
Cancer,1.6638757415823262e-104,2.7168672478399464e-38,0.7836667791346426,4.718370872922393e-25,0.04500872639083505,0.003942441790660418,6.913746934831864e-07,3.0058140727623485e-82,2.2328578687079574e-90,2.605870042117682e-110,6.617752685797536e-20,1.764673662400083e-55,0.5963305963157559
BMI,3.614075283777294e-08,2.83788274355583e-44,4.00579587775857e-87,2.236951057430513e-08,5.3129349661398534e-43,2.4230628372310874e-81,0.012690896329876418,0.0381042216229901,5.252861980640867e-05,0.0,0.09775179034841883,6.41218596470668e-36,0.00016971622464137705
Clinical depression,3.050359689529833e-38,0.9516927701003919,7.688040544181454e-28,7.235215529392644e-132,9.724793698188353e-11,0.25758612343083,2.4491911079070177e-12,9.9336320003986e-104,4.229183832900014e-29,3.4959797325066827e-09,0.10201625806795322,1.6358951994186932e-07,4.5964733415888295e-25
Presence of one or more chronic infarcts,4.346949692048358e-61,8.487406593641252e-83,1.8796945375251482e-80,0.02058226373327396,3.3566468727183354e-24,0.005181961457382278,0.00010318722033790532,2.400999218717175e-38,0.013290780962902173,1.2949682608843333e-33,0.360044028884715,4.048008221572413e-93,3.378819704912906e-37
Chronic microinfarcts,0.5758483616259622,4.150924483687523e-09,2.169331550351587e-36,0.002328264060834227,2.2330718939449606e-25,3.788902553306582e-13,0.023049782241397258,2.0816017147257295e-32,1.9014535037350796e-158,1.0942791321246693e-80,0.0,0.08810176044948598,0.783827513056518
Gross chronic infarcts,3.364657111403054e-75,2.8755339378389044e-87,2.5763121840325496e-121,2.0966429638992605e-05,5.619977878191293e-50,4.441254689781554e-108,1.3873688201993594e-16,2.3322290026214772e-63,3.9692657680416525e-125,0.004370503730895674,5.02764232951105e-71,6.420517299988933e-112,3.9754893752436366e-20
