,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,0.0,5.9440642431225595e-196,0.0,2.0134667097940155e-192,0.0,0.0,0.0,5.603534754155784e-77,8.034366664400699e-11,2.8815102126713754e-170,0.0,2.5741106673638472e-55,0.0
Social network size,7.105394141329737e-14,3.921750170203574e-237,0.0020588386586129688,1.3234876259181139e-92,0.0,5.926207925418526e-122,1.2317150528670244e-40,0.27312153139008477,0.08220923807634864,1.3763370667248862e-195,0.0,2.0176369042061954e-27,0.04709877328339956
Physical activity,3.015226327150328e-68,8.16670707663364e-42,0.0,6.044092341563444e-80,5.15757923130071e-64,1.3788761973854444e-71,0.0,4.843861942360779e-94,2.974678514971827e-41,0.15608791981218748,0.05301171635764984,1.3846930203849734e-11,7.730917142883305e-73
Parental education,0.8544533876073017,1.823553231542598e-97,0.8900337046466064,2.6109493801456142e-79,2.540871471673497e-211,1.4897936014452844e-38,0.0,6.375041603661623e-35,4.1869111498510636e-188,4.709766295399013e-13,3.088056346468675e-49,3.1572395149124103e-68,3.877378702775691e-66
Neuroticism,1.7087525619233884e-236,0.0,3.4615046203642946e-61,0.0,2.0032136115703943e-15,8.971695314403406e-14,6.326743890731186e-132,1.3612171828715847e-06,6.707389250113629e-17,5.835850900380188e-08,1.0731562806332796e-12,1.0683475682779563e-23,2.686501943167807e-10
Education,7.119166808103726e-24,1.0667560403240796e-15,3.412018952859706e-132,3.645659081993298e-23,2.0894007025089707e-22,1.1456872352066562e-291,9.142162405048953e-155,3.2080762324725506e-130,0.46320902254856455,1.9735244072800303e-51,6.691774603978546e-92,2.2299970949669007e-64,9.427014013447013e-243
Lifetime daily alcohol intake,2.3643646453968592e-23,6.145908606497429e-13,1.9774366658348605e-14,1.1319482338366012e-175,3.1430814373225775e-91,2.161619881547168e-34,0.010301672422889322,8.057707193534659e-16,1.0649237319380894e-86,1.4580620919155577e-88,0.09200758272420795,0.000792235149702451,6.577023795316621e-35
Baseline smoking status,5.539317976707039e-231,0.27420919297970914,8.95870764237883e-23,0.0,1.1822061944167813e-122,1.6898340760906327e-239,0.8891855646729923,0.0,6.709669328694912e-19,0.07497221786179245,4.0398996849531905e-82,7.159395320825794e-07,9.826573591306925e-07
Age at death,0.5607973289743305,0.005833689316919005,0.0,1.607751233129372e-50,0.00026407510191095874,6.684986633468347e-72,5.970303440455597e-51,1.4220961038941972e-270,1.7215434706484825e-05,8.640100706278413e-196,0.0,2.1472158242520506e-22,0.0
Hypertension,0.008250674678223551,6.554686006195734e-120,2.4243975409667713e-133,0.11897936864616737,0.0,6.567215721172944e-150,1.6832537778713335e-241,4.73135867052799e-118,0.00041736364537975,1.2503618743458232e-36,0.3433306685658931,7.485635673421551e-57,6.4547333795764e-241
History of diabetes,3.5278471093209375e-33,5.709217088923409e-156,0.00043340259105284463,1.4152481914124195e-128,1.3910433526211348e-196,4.6923731087831595e-06,4.333005360791968e-07,6.4842938509426994e-80,1.5304110746725045e-102,0.9895034491666393,0.0,0.028523469213450448,9.426672870633917e-87
