,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,2.121543643581224e-171,2.3292053482369922e-197,2.1249033905667386e-204,5.220995599710007e-225,0.0,1.369151580471305e-40,1.0751751000589325e-26,3.526758437433338e-108,0.0,0.0,2.9472723190301815e-270,0.38077345214310043,3.0733151565399842e-18
Social network size,1.9258389477533437e-31,1.2107135261000601e-19,8.141644898676978e-07,6.239379802656481e-20,1.6227177092340788e-47,4.768797427617123e-10,5.001093308757156e-13,3.165506490464249e-09,1.142853124612267e-24,4.450190016860293e-33,3.028725024139977e-19,0.05425427984818226,1.3939854595228997e-06
Physical activity,1.1186279724478506e-05,5.132263734462719e-133,1.3253168386439068e-23,4.0618272293020693e-10,0.00306720347052241,1.0662105247360636e-16,1.4455823291616532e-81,4.955347775260324e-90,0.5215012632545095,2.1282220874514314e-14,0.06613915965485326,8.941224444061949e-14,1.3542282764736084e-20
Parental education,5.517234381265377e-07,2.564994686822617e-27,2.4768214648588937e-09,6.399421486893879e-23,1.0267915049719458e-26,1.6121130185188223e-06,2.6807279341212924e-68,0.7916296463246324,0.03372259362638663,0.0023874617260874094,4.2537325882367824e-15,0.2632115579797757,8.163425860984508e-99
Neuroticism,0.27322936673319165,0.0,3.295856956039575e-33,4.6886627361596834e-05,0.1973939542496892,7.901554486491629e-22,0.03604494897349205,0.719809446383431,9.679929238348039e-05,0.004293674707064699,1.3290905819683564e-06,0.989525956934577,4.681922028765973e-21
Education,0.49013122735586956,3.7592065802582765e-58,0.4260880417478172,1.0566791000682445e-20,2.036452684342251e-15,2.9642449767014505e-69,1.1383449086732495e-84,1.3872596825635367e-16,0.000167446124812957,0.18438459273654584,4.535579450126636e-25,3.2769212914448283e-66,1.0091720076503511e-17
Lifetime daily alcohol intake,0.11211347207234061,7.714185062912061e-06,2.165630242491431e-20,5.490370698492213e-53,0.0009282626465102913,9.716061460285374e-23,7.974895390223938e-35,2.393998299872733e-19,0.11796284563556687,0.00022927776923222185,2.484407219768975e-14,1.5433942615746688e-24,2.9268882068499996e-23
Baseline smoking status,3.44295965344696e-25,4.0110513256259694e-38,0.013189040740366136,2.1646198051687422e-26,1.5131242780561784e-05,1.9700260498158312e-41,5.752375706952612e-81,1.0671406005666904e-45,1.0855397186660517e-74,0.20436930696126165,1.5958328776759486e-06,3.855023068577342e-129,0.0005709785422020668
Age at death,0.00013875017497476486,6.228994245440616e-05,6.807199839840042e-67,0.7846295590224108,1.4886251171307663e-37,1.4746397090075016e-160,5.630833683073952e-15,1.0157322006796493e-27,1.1927284438799827e-06,2.2428583470949977e-74,1.1379011440376357e-80,1.2714540681278755e-07,2.371538133677095e-25
Hypertension,1.9955847615420255e-17,0.004766887024489637,5.295193043893152e-37,2.632625038163832e-05,8.468681172405438e-35,0.06779627575119695,5.175097282622888e-88,1.2182535548999143e-16,9.24231696331782e-14,1.8244989367706616e-07,1.202638186379527e-89,3.92954194130494e-27,1.2929599250251619e-110
History of diabetes,6.324307399662103e-34,3.326665186776726e-16,0.005997344468807461,1.8387015000747754e-46,9.62053438814934e-12,2.0118287984212887e-09,0.0001851994310121484,0.057305233179458716,1.8919091519450903e-18,0.6893866447856103,3.50149088231115e-19,0.23859005705755265,3.2242357743341083e-18
Cancer,6.811658713353042e-06,0.0006498326014156137,0.40260291385764657,0.06160508978986526,3.2393473934116075e-65,8.568354751028799e-26,1.0291532769984602e-07,3.166436435447424e-06,0.13737789841728787,0.0008768804941063348,3.0299796734892023e-34,8.303103582404889e-32,0.32707392275177605
BMI,1.3637540299662247e-45,1.6362343164790648e-05,1.0545667803929539e-35,5.9090739429090345e-06,1.4425339991455475e-15,2.265807397390016e-12,1.9319043162636798e-101,0.0032993535955865012,0.006034962167748654,2.032769380026976e-64,5.585712352652917e-34,9.374521783550146e-10,0.0002603026007633884
Clinical depression,0.43454896004971877,6.229395142192792e-06,0.00017268695916129704,2.227827953512932e-42,2.6022525400922244e-121,6.54960857459421e-92,0.6730226848243266,5.181644920916995e-09,3.6424654664701457e-25,4.921366023342552e-14,0.9709733540442412,5.899837917022345e-45,0.00015812733514460062
Presence of one or more chronic infarcts,2.846408881692225e-35,1.5071249111727487e-26,8.021690097610422e-29,0.5916296806597914,3.2784271345810363e-07,1.3732372935190976e-32,1.9805475567593658e-27,9.83351515757557e-09,2.4128076014024133e-09,1.645056369258918e-25,1.3816583739614884e-41,0.6512332863855803,0.0002308788200427807
Chronic microinfarcts,0.6778448675221651,1.5739035718096125e-06,2.5588671799585337e-08,1.6325143982752354e-28,3.716809235115448e-35,8.245438210203303e-98,2.1988090188162864e-24,0.0029435499516175406,5.197957784790665e-07,9.498595308727864e-78,2.0312993408490484e-26,5.547943539525254e-141,0.0015198394059815418
Gross chronic infarcts,2.3579355459421665e-85,3.4858227178627057e-73,1.2165302711595988e-81,0.3699390598138321,5.1898755354258155e-08,0.03411998852873113,7.0730473372988256e-06,2.4431125414646793e-59,2.3802419585083176e-09,3.023650729975327e-07,5.394090036294814e-33,0.0015198891830177953,0.6635323288955108
Arteriolosclerosis,5.406799113707377e-06,1.4078449853635851e-95,0.0002156426978048769,0.04375307539270502,0.2339887065099916,0.5979238346505135,6.9430077523547145e-16,1.0006271545781338e-11,0.00025981638425270686,2.0898592338599813e-13,0.9268600690236166,0.29995519769718704,3.0159628100613315e-06
Cerebral atherosclerosis,0.41863566092067883,3.770674825638798e-123,3.233990735806464e-25,0.07335923060537093,0.19886069177803123,0.001561193886789124,2.95761621872454e-85,6.034848752443254e-05,2.5576096551506714e-13,8.201855630314769e-06,1.0217169573089635e-56,5.596304380025889e-05,8.54485089752693e-09
Cerebral amyloid angiopathy,0.28263860835444266,0.19202235548598434,0.09993215169184518,2.9499134091618737e-10,7.55545352348416e-33,0.5333469921962122,0.038741942445370624,0.00010617455642229286,1.5912438718388687e-90,6.73067534332548e-20,5.813310594653118e-34,5.281128335625295e-161,2.0637377345026906e-08
Lewy body load,8.784218984305383e-11,1.3873139887881702e-55,2.856320574952473e-73,1.0780397477379788e-39,6.3171072714166995e-31,1.74927223876745e-38,2.3380990737930854e-71,0.00017378437671360436,4.23895495837108e-08,1.5863776255193172e-15,8.426756755752923e-85,1.3312123524267957e-07,1.1155227024449196e-32
