,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,1.9371437928083965e-73,0.0,0.04299347990927222,1.0142454461669651e-287,5.683009735381347e-53,0.15926852009933956,1.1264774852045891e-05,0.007831427068708577,3.8408517603954126e-25,4.1931801212648046e-08,4.6967937321683794e-08,3.3925897665574597e-40,9.718480648149089e-05
Social network size,1.1667301710290239e-32,1.2089382331816833e-24,0.049165769955340846,2.073264142197728e-21,0.32354568889894986,0.0002532606642922782,2.065090175215923e-63,0.1699705889754578,5.6803359975120036e-14,0.3478962620066429,9.586582528280068e-11,6.754189980057713e-13,7.194695353580145e-06
Physical activity,0.00241060531131809,3.319350509614811e-52,2.941823779442313e-09,2.4068561926589895e-25,0.023071376990316635,3.573926517464318e-08,2.8168490200864015e-44,0.35317577130183586,2.34087651837257e-53,3.841078488519211e-06,5.387034724619725e-05,0.31311317117991144,1.1473621421776505e-13
Parental education,0.09449002406959726,1.2360987536451035e-44,1.2612828910246653e-13,0.13845532428287027,0.004451962756627736,0.04981052067819494,1.4103035326672604e-05,0.0018361887059620125,4.128980334635185e-14,0.00938107852577003,0.11983927190660314,0.25594801921748855,0.001706389718150946
Neuroticism,9.8623159018008e-20,4.469271071351923e-26,0.26811827254259435,1.5118714082551863e-32,7.522074624229517e-30,2.065613530476923e-15,0.41211353517166516,2.801803357601072e-07,4.5374622096111645e-06,0.0008003738359198591,0.0006280367835570215,0.00039890763921066405,8.70230058831295e-16
Education,0.5372643492212796,7.024127672328727e-33,8.625537135565701e-28,3.25144776186041e-19,4.9336994086221344e-29,1.3129097808568858e-16,6.527390192741417e-18,0.0006525037001646569,2.1689255032700604e-16,1.3803602292521081e-23,9.209001535546661e-06,7.559843153750369e-26,2.916743943411354e-19
Lifetime daily alcohol intake,2.987014248507521e-17,0.0017737825082314543,8.401567257450758e-16,3.7633978195066114e-08,1.015262912482797e-105,1.6796523295516305e-11,2.75185952423847e-05,1.5845126733544437e-08,0.20517924262988108,6.440931882445802e-50,0.2413078263150059,1.5986425318494403e-09,4.803964635257851e-11
Baseline smoking status,2.8597105777712084e-55,6.3114482141605915e-06,0.0022365057839610286,3.5034412354666473e-10,8.969355442900445e-27,6.056922165848281e-28,3.048688372881944e-10,1.7623615575473771e-47,0.4774620652562003,2.6608558361040096e-12,0.008963813172217948,0.9397959671569933,1.0026410635148876e-16
Age at death,1.1107868265937225e-06,6.609242575205666e-96,0.3689979539104088,3.0944237104614317e-27,2.378846679335028e-10,6.8913532604192e-87,1.4908183423857339e-43,1.0189700473045378e-49,0.9375197338212389,1.4013815724123369e-14,0.024448796369624673,0.9430178849766081,1.689842334157175e-19
Hypertension,1.8162606035838958e-23,3.4870943189582545e-79,9.847911234065342e-40,6.675870080650416e-11,0.016967900962364075,3.422018992326072e-32,4.397068131833555e-07,5.551147364914437e-07,2.2189967900837754e-37,0.11981086540800472,8.316919509545063e-16,3.7549423939879527e-06,0.052719313266534056
