,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,0.14126188108580118,2.702448283273232e-54,2.499003784778276e-05,6.944822119386819e-190,3.415950270384665e-28,0.023836524530899475,1.659447190310565e-32,0.5834436427374078,2.684726984927501e-228,1.2549852591214314e-72,0.00012386977820890937,4.787163001580238e-19,2.936056804212411e-17
Social network size,2.6060859694118513e-06,4.024427441877088e-16,3.7430655532884355e-19,0.0007316852803664699,3.2513143422454616e-35,3.7076105904892086e-07,2.6258869168642334e-10,5.845387251771115e-14,0.014093499430414476,1.361451093984172e-20,0.0019024096595376514,0.009694109596969269,0.00030973606942403425
Physical activity,1.875048696067538e-05,8.262757294813327e-33,6.698796958518121e-16,2.8055896544025974e-17,0.4879634226460431,0.0024806335328229233,1.2008644366787375e-07,4.221459953765757e-20,1.4805926062813936e-11,1.4220389927033486e-08,2.0981336376478808e-07,5.004419992843103e-16,0.34783498765217225
Parental education,0.2772501938545401,4.9164366693345543e-20,2.5124149832659854e-23,0.00479204002639789,1.0341014362857122e-08,5.6476273479831276e-05,2.5325556951190907e-113,0.505696317982065,3.3718487684096063e-31,0.8955075404974762,4.787960748044654e-09,1.1789996928607566e-12,0.06183445198382056
Neuroticism,0.9278676022132252,1.1784118341102153e-87,3.5249931548522743e-60,2.2646291261513055e-10,0.0019101646064762028,4.716529944509441e-06,9.013241730911031e-15,0.19474161361300335,1.2524784907161059e-05,1.7744078933403595e-10,0.0027158799960332147,0.4470550116104661,0.001607589407862237
Education,1.0812291499752964e-08,3.668465308081233e-12,0.010102891669250278,4.033433509585555e-22,5.115489418962539e-20,0.24343266330989655,1.8511051813705154e-26,4.5983233374834374e-05,6.181387873168057e-13,2.274471884676605e-23,2.600240000169676e-12,3.929055114039675e-18,0.002681234228851506
Lifetime daily alcohol intake,0.00019739684768720886,0.16252932748241333,0.0005510724050582826,4.601426139675497e-15,2.508865106770566e-06,0.005444461222348704,4.3503524340909685e-16,0.9106628919313772,9.808603313628862e-10,7.887401397106765e-15,0.11070930836055405,0.15053958367418457,0.0021046284634250166
Baseline smoking status,4.850811291479971e-05,0.00018385752121652594,0.02054102274138766,0.005583934345906663,1.1463776034782544e-50,0.7988853078850646,1.3370298494059756e-09,9.452077154172964e-55,3.066554304532802e-08,0.1505770348546913,7.152154984980365e-07,0.05798726749736487,0.00015084892033764144
Age at death,3.886835987514851e-18,8.844748362317017e-134,4.871848104785498e-74,1.364156836056521e-49,3.262323925174337e-07,0.2835705021344185,1.102537210031236e-07,2.7369009755990103e-25,2.6854302940051626e-34,1.2107703525111809e-92,2.021179750800483e-26,0.8488049597542644,0.14179993040113134
Hypertension,7.96849639642274e-08,6.787635958812928e-50,6.097188924162385e-32,5.1188648710815156e-08,6.129410503161944e-12,6.729350621309594e-19,1.0494244148625817e-05,0.3388784039235787,3.870395761389697e-29,0.8945116581099688,0.007946583606324786,2.0207067075123476e-06,0.22790456098449263
