,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13
index,0.0,0.0,0.0,3.2501288198105904e-163,3.243991428600561e-147,0.0009944694743238432,0.0,1.2840862059183871e-300,3.6447307758336914e-11,0.0,1.7006817123777475e-46,3.317704052110425e-275,5.747302572794469e-109
Social network size,2.8692326618427515e-57,5.777547617534557e-65,0.004277492388416696,3.1111702059523256e-14,9.807711794438548e-41,1.3398681349218935e-15,9.502743948564147e-36,2.5602610694791275e-10,2.4041815347440438e-20,4.9499446773676814e-73,6.153472639351529e-151,3.4776952640289826e-54,1.488492862683787e-31
Physical activity,1.9680501363484002e-08,6.327576884583215e-288,5.06057495854785e-05,3.7158192421352764e-11,9.427642337056332e-81,0.0,2.9030346810982446e-130,2.1294315464670447e-18,0.10220117332428194,0.15448504579934877,5.4132305857987006e-73,9.294731171577554e-15,0.00019782746034689952
Parental education,0.927592475003367,1.1392955442687247e-108,0.30952572196175954,2.7604117527924418e-11,0.023922788108954065,2.127401285447539e-282,0.005598304604940727,6.819239799905381e-63,6.426563077873044e-23,8.328512477925815e-33,2.3660926970324213e-37,0.5468593316602615,2.558987832105936e-09
Neuroticism,0.3129798987110617,1.3420096778574154e-288,7.515196176910786e-13,6.963620117777697e-24,1.1974818042198303e-11,9.97144296794612e-79,1.8941324625896765e-18,0.05428972542615685,0.6672262785549541,0.0005698231830710152,0.1225913669988662,5.011048237416652e-16,0.2925928677864241
Education,0.504153962836261,2.622972371211299e-05,1.1585229399181935e-219,2.8581936832828227e-15,0.03335657862152982,0.0,3.714338054760887e-08,0.00424244513361115,4.763230927789782e-06,9.140440444714186e-81,4.7364626372873185e-232,7.359314001948856e-49,6.084093052819333e-20
Lifetime daily alcohol intake,0.5209118226278862,2.2274334042520794e-27,1.1172450088798918e-07,5.514330389542169e-29,6.342358503014248e-08,0.8410527969553904,0.002627322294932284,2.1108969439525643e-43,3.9866362911259216e-37,1.3511778196880845e-14,2.00513371075899e-15,0.0004423332794042214,0.0002808279987131372
Baseline smoking status,1.5910437527102557e-85,2.0486474352553984e-81,1.7035853740838258e-65,1.7137911369656161e-96,2.004743891098299e-244,2.359201728039128e-253,1.5951779931311819e-164,1.2927174238564721e-48,1.4539182274244235e-26,1.1271282422769664e-31,0.027452473637755874,3.188889442846563e-14,0.017870279403198505
Age at death,3.1656465717780724e-17,0.0,1.2335912802358043e-286,3.654212328436913e-85,1.1178464591368156e-05,4.553553116993524e-47,2.7908054522417975e-84,2.5678841792228907e-49,0.0006551029711214208,8.819213216710791e-209,1.364642882333884e-259,5.260275641722589e-227,0.002963126486346881
Hypertension,3.380014828704813e-128,4.8239628672796735e-260,3.8658903078457964e-22,3.9538963602784414e-69,1.7317305372953633e-145,7.498841411412946e-243,2.0265465923855288e-08,1.7856473910913946e-13,0.48915740231263405,1.5886380647199775e-34,1.8250418794717675e-208,1.6267488217198136e-31,0.11115553648265142
