cell_type,comp,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
Excitatory Neurons,1,prerank,Negative Regulation Of Ion Transmembrane Transporter Activity (GO:0032413),-0.9484249749883882,-1.8722040417068977,0.0,0.0141369659169322,0.492,2/6,0.83%,CALM2;YWHAE
Excitatory Neurons,1,prerank,Modification-Dependent Macromolecule Catabolic Process (GO:0043632),-0.9438025488556928,-1.747405504220926,0.0,0.0472412995567347,0.939,4/5,4.57%,UBB;NEDD8;RPS27A;UBA52
Excitatory Neurons,1,prerank,Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667),-0.93345126279322,-1.7808775319184995,0.0037593984962406,0.0352194846539223,0.871,4/5,6.62%,RPL17;RPL5;RPS7;RPL11
Excitatory Neurons,1,prerank,Maturation Of SSU-rRNA (GO:0030490),-0.93340712045748,-1.857154604581293,0.0,0.0164623082829544,0.559,6/6,6.78%,SNU13;RPS14;RPS8;RPS28;RPS19;RPS16
Excitatory Neurons,1,prerank,Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),-0.9292117913244564,-1.959130856559249,0.0,0.0042548880559213,0.172,5/7,6.62%,SKP1;RPL17;RPL5;RPS7;RPL11
Excitatory Neurons,1,prerank,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",-0.9269773342509848,-2.3544223718174937,0.0,0.0,0.0,12/14,5.55%,NDUFA4;COX6C;COX7C;CYCS;COX4I1;COX8A;COX7A2;COX5B;COX6A1;COX6B1;COX7B;COX5A
Excitatory Neurons,1,prerank,"Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)",-0.9266400091850736,-1.9799032398561816,0.0,0.0032387007893383,0.121,7/8,5.33%,UQCRH;UQCRB;CYCS;UQCR10;UQCR11;UQCRFS1;UQCRQ
Excitatory Neurons,1,prerank,Positive Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051443),-0.9233301037755977,-1.7683929240596823,0.0099667774086378,0.0389895606577454,0.908,4/5,7.20%,SKP1;PIN1;PINK1;RPS2
Excitatory Neurons,1,prerank,Cytoplasmic Translation (GO:0002181),-0.9142811912385098,-3.337977029529554,0.0,0.0,0.0,79/81,9.78%,EIF4A2;RPL34;RPL7A;RPS3A;RPL7;RPL37A;RPL9;RPL24;RPL27;RPL35A;RPL15;RPL3;RPL17;RPL26;RPL31;RPS23;RPS21;RPL37;RPS14;RPL5;RPS4X;RPL36;RPL14;RPL32;RPS7;RPS20;RPL6;RPL21;RPL38;RPL41;RPL4;RPS8;RPL22;RPL30;RPL29;RPS27A;RPS24;RPL36AL;RPS25;RPS15;RPS17;RPL19;RPL35;RPL8;UBA52;RPL10A;RPL39;RPL27A;RPS10;RPS28;RPS3;RPL12;RPS15A;RPLP2;RPL10;FAU;RPLP1;RPL13;RPSA;RPS26;RPS19;RPL13A;RPL11;RPL18;RPS16;RPS18;RPL18A;RPS13;RPS2;RPS9;RPS6;RPS11;RPL23A;RPL28;RPS5;MRPS12;RPS27;RPL26L1;RPS29
Excitatory Neurons,1,prerank,Regulation Of Translational Initiation (GO:0006446),-0.9141677085236116,-1.8460701796683257,0.0037174721189591,0.0179673129279657,0.613,2/7,2.01%,EIF4A2;EIF1
