cell_type,comp,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
Excitatory Neurons,1,prerank,Adenylate Cyclase Regulator Activity (GO:0010854),-0.9441546876197864,-1.7461961959498973,0.0033333333333333,0.0293026887986468,0.389,4/5,2.27%,CALM2;CALM3;CALM1;GNAS
Excitatory Neurons,1,prerank,Syntaxin-1 Binding (GO:0017075),-0.9440080159579144,-1.8469362832368577,0.0,0.0095584913517102,0.127,4/6,2.89%,SNAP25;NSF;SYT1;VAMP2
Excitatory Neurons,1,prerank,Ubiquitin-Protein Transferase Inhibitor Activity (GO:0055105),-0.935239852398524,-1.9874773083221045,0.0,0.0018620437698136,0.02,7/7,6.62%,RPL17;RPL37;RPL5;RPS7;RPS20;RPS15;RPL11
Excitatory Neurons,1,prerank,Ubiquitin Ligase Inhibitor Activity (GO:1990948),-0.935239852398524,-1.9874773083221045,0.0,0.0018620437698136,0.02,7/7,6.62%,RPL17;RPL37;RPL5;RPS7;RPS20;RPS15;RPL11
Excitatory Neurons,1,prerank,Cytochrome-C Oxidase Activity (GO:0004129),-0.9149717283223224,-2.0517199481242216,0.0,0.0010640250113221,0.008,8/9,5.55%,COX7C;COX4I1;COX8A;COX5B;COX6B1;COX7B;COX7A1;COX5A
Excitatory Neurons,1,prerank,Protein Serine/Threonine Kinase Activator Activity (GO:0043539),-0.9048077871525532,-1.973966255367621,0.0,0.002200597182507,0.026,3/8,1.20%,CALM2;CALM3;CALM1
Excitatory Neurons,1,prerank,NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137),-0.9011360216013048,-2.500160602215997,0.0,0.0,0.0,18/19,8.73%,NDUFA4;NDUFB8;NDUFS5;NDUFB2;NDUFC2;NDUFB1;NDUFA8;NDUFA3;NDUFS6;NDUFB10;NDUFA2;NDUFB4;NDUFC1;NDUFA12;NDUFB3;NDUFB7;NDUFA7;NDUFA6
Excitatory Neurons,1,prerank,Syntaxin Binding (GO:0019905),-0.8947291499680176,-1.903193271523584,0.0034246575342465,0.0049211156773647,0.063,4/8,2.89%,SNAP25;NSF;SYT1;VAMP2
Excitatory Neurons,1,prerank,NADH Dehydrogenase (Quinone) Activity (GO:0050136),-0.8895881397226767,-2.508619252054221,0.0,0.0,0.0,18/20,8.73%,NDUFA4;NDUFB8;NDUFS5;NDUFB2;NDUFC2;NDUFB1;NDUFA8;NDUFA3;NDUFS6;NDUFB10;NDUFA2;NDUFB4;NDUFC1;NDUFA12;NDUFB3;NDUFB7;NDUFA7;NDUFA6
Excitatory Neurons,1,prerank,Active Monoatomic Ion Transmembrane Transporter Activity (GO:0022853),-0.8865202987705283,-2.2823828014925422,0.0,0.0,0.0,11/15,5.55%,UQCRH;UQCRB;COX7C;COX4I1;COX8A;COX5B;UQCR10;COX6B1;COX7B;COX7A1;COX5A
Excitatory Neurons,1,prerank,mRNA 5'-UTR Binding (GO:0048027),-0.8750294927736932,-2.0421346606259023,0.0,0.0009310218849068,0.008,8/10,9.97%,RPS3A;RPL26;RPS14;RPL5;RPS7;RPL41;RPS13;NCL
Excitatory Neurons,1,prerank,Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453),-0.8675762772729441,-2.711193951948327,0.0,0.0,0.0,29/33,6.91%,NDUFA4;UQCRH;UQCRB;COX7C;NDUFB8;NDUFS5;COX4I1;COX8A;COX5B;UQCR10;NDUFB2;NDUFC2;COX6B1;NDUFB1;NDUFA1;COX7B;NDUFA8;NDUFA3;NDUFS6;COX7A1;NDUFB10;COX5A;NDUFA2;NDUFB4;NDUFC1;NDUFA12;NDUFB3;NDUFB7;NDUFA7
Excitatory Neurons,1,prerank,Actin Monomer Binding (GO:0003785),-0.8662998517068616,-1.939230568172193,0.0039370078740157,0.0030795339269995,0.041,3/9,1.23%,TMSB4X;TMSB10;PFN2
Excitatory Neurons,1,prerank,Ion Channel Inhibitor Activity (GO:0008200),-0.8547005833004162,-1.7488477538145666,0.0234375,0.0299995940692203,0.38,4/7,8.64%,CALM2;CALM1;SCN1B;PHPT1
Excitatory Neurons,1,prerank,Proton Transmembrane Transporter Activity (GO:0015078),-0.8482233524529526,-2.3075596492606394,0.0,0.0,0.0,12/18,5.55%,UQCRH;UQCRB;COX7C;COX4I1;COX8A;COX5B;UQCR10;ATP6V1F;COX6B1;COX7B;COX7A1;COX5A
Excitatory Neurons,1,prerank,rRNA Binding (GO:0019843),-0.7480644113128121,-1.949689736059194,0.0,0.0026378953405693,0.033,9/14,8.96%,RPL17;RPS14;RPL5;RPS3;RPL12;RPL11;RPS13;RPS9;RPS5
