id,Tau binding,Amyloid-beta binding,Calcium homeostasis,Zinc ion binding,mRNA binding,rRNA binding,Ubiquitin regulation,Oxidoreduction,NADH dehydrogenase,Camptothecin,Dactinomycin,Niclosamide,Parthenolide,Teniposide
STUB1,True,False,False,False,False,False,True,False,False,True,True,True,True,True
HSP90AA1,True,False,False,False,False,False,True,False,False,True,True,True,True,True
PIN1,True,False,False,False,False,False,False,False,False,True,True,True,True,True
MAP1A,True,False,False,False,False,False,False,False,False,True,True,True,True,True
HSP90AB1,True,False,False,False,False,False,True,False,False,True,True,True,True,True
APOE,True,True,False,False,False,False,False,False,False,True,True,True,True,True
MAP2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
S100B,True,False,True,True,False,False,False,False,False,True,True,True,True,True
CLU,True,True,True,False,False,False,True,False,False,True,True,True,True,True
PFDN5,False,True,False,False,False,False,False,False,False,True,False,True,True,False
ITM2A,False,True,False,False,False,False,False,False,False,True,True,True,True,True
APOA1,False,True,False,False,False,False,False,False,False,True,True,True,True,True
LILRB3,False,True,False,False,False,False,False,False,False,False,False,False,False,False
CST3,False,True,False,False,False,False,False,False,False,True,True,True,True,True
TREM2,False,True,False,False,False,False,False,False,False,True,True,True,True,True
LILRB1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
TGFB2,False,True,False,False,False,False,False,False,False,True,True,True,True,True
MAPK8IP2,False,True,False,False,False,False,False,False,False,False,False,False,False,False
TLR6,False,True,False,False,False,False,False,False,False,False,False,False,False,False
C1QA,False,True,False,False,False,False,False,False,False,True,True,True,True,True
COL25A1,False,True,False,False,False,False,False,False,False,False,False,False,False,False
LILRB2,False,True,False,False,False,False,False,False,False,True,False,False,True,False
MARCO,False,True,False,False,False,False,False,False,False,True,False,True,True,True
NLGN1,False,True,False,False,False,False,False,False,False,True,False,True,True,True
BCHE,False,True,False,False,False,False,False,False,False,True,True,True,True,True
HSPG2,False,True,False,False,False,False,False,False,False,True,False,True,True,True
ITGAM,False,True,False,False,False,False,False,False,False,True,True,True,True,True
TLR2,False,True,False,False,False,False,False,False,False,True,True,True,True,True
CD36,False,True,False,False,False,False,False,False,False,True,True,True,True,True
CALCR,False,True,False,False,False,False,False,False,False,False,False,False,False,False
CD74,False,True,False,False,False,False,False,False,False,True,True,True,True,True
ADRB2,False,True,False,False,False,False,False,False,False,True,True,True,True,True
PFDN6,False,True,False,False,False,False,False,False,False,False,False,False,False,False
ITGA2,False,True,False,False,False,False,False,False,False,False,False,False,False,False
CRYAB,False,True,False,False,False,False,False,False,False,True,True,True,True,True
NGFR,False,True,False,False,False,False,True,False,False,False,False,False,False,False
TLR4,False,True,False,False,False,False,False,False,False,True,True,True,True,True
FCGR2B,False,True,False,False,False,False,False,False,False,True,True,True,True,True
ITM2C,False,True,False,False,False,False,False,False,False,True,True,True,True,True
ITGB2,False,True,False,False,False,False,False,False,False,True,True,True,True,True
MSR1,False,True,False,False,False,False,False,False,False,True,True,True,True,True
GRIA4,False,True,False,False,False,False,False,False,False,False,False,False,False,False
MYL9,False,False,True,False,False,False,False,False,False,True,True,True,True,True
NDUFAB1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
SPARCL1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
MYOF,False,False,True,False,False,False,False,False,False,True,True,True,True,True
CASQ2,False,False,True,False,False,False,False,False,False,True,True,True,True,True
S100A16,False,False,True,False,False,False,False,False,False,False,False,False,False,False
S100A13,False,False,True,True,False,False,False,False,False,True,True,True,True,True
CDH18,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ANO2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CLCA4,False,False,True,False,False,False,False,False,False,True,True,True,True,True
S100A2,False,False,True,False,False,False,False,False,False,True,True,True,True,True
NRXN1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
TCHH,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CACNA1F,False,False,True,False,False,False,False,False,False,False,False,False,False,False
DNASE1L2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
GSN,False,False,True,False,False,False,False,False,False,True,True,True,True,True
GJB2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ANXA2,False,False,True,False,False,False,False,False,False,True,True,True,True,True
SYT2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
SLC24A2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
TRPC6,False,False,True,False,False,False,False,False,False,False,False,False,False,False
SPARC,False,False,True,False,False,False,False,False,False,True,True,True,True,True
RYR2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
CAPN3,False,False,True,False,False,False,False,False,False,True,True,True,True,True
GEM,False,False,True,False,False,False,False,False,False,True,True,True,True,True
TUBB4A,False,False,True,False,False,False,False,False,False,False,False,False,False,False
HPGDS,False,False,True,False,False,False,False,False,False,True,True,True,True,True
PCP4,False,False,True,False,False,False,False,False,False,True,True,True,True,True
FBLN1,False,False,True,False,False,False,False,False,False,True,True,True,True,True
